path,pageType,status,contentType,canonical,robots,title,metaDescription,h1Count,mainCount,imageCount,missingAltCount,textLength,textFingerprint,mainTextLength,mainTextFingerprint
"/","home","200","text/html; charset=utf-8","https://bettergrades.net/","index, follow","Better Grades — Free answers, full explanations","Find free academic answers, complete explanations, practical tools, and focused practice.","1","1","0","0","7027","b6660363bc19405a50ca14b7cd5192cdccfaf45ae3c0c698dbded8210f7f0023","5522","c435ce35b9cd241e760d1a5c6f1768a39368866febe005324fedd328d699a0c0"
"/subjects/","subject-or-article","200","text/html; charset=utf-8","https://bettergrades.net/subjects/","index, follow","Browse subjects | Better Grades","Explore Better Grades resources by subject and course.","1","1","0","0","1857","a1617e36aebf262fca7619874490d8c77d0d9a01be4c50031df1e386a0bd4fce","373","3b4670e5108c2185b881dec07593e0afd46b4d6e124e77bead067aa2dc358918"
"/resources/","policy-or-directory","200","text/html; charset=utf-8","https://bettergrades.net/resources/","index, follow","Free Math Resources | Worksheets, Practice Exams, Guides, and More | Better Grades","Browse every published Better Grades worksheet, practice exam, formula sheet, visual guide, worked problem, and glossary reference.","1","1","0","0","16793","dd653e63a98797f253345bc12ff55f67244cdf30c62b514af9adda1689ec007b","14860","bdb0df26d21a1f6143ef385096f96087fb0461030905e913adda8278f508f3ff"
"/practice/","practice","200","text/html; charset=utf-8","https://bettergrades.net/practice/","index, follow","Free quizzes and practice exams | Better Grades","Use focused quizzes, diagnostics, practice exams, and challenges with explanations.","1","1","0","0","1935","1b357f61b2349a2f41e13bb84be967c1d9ec68c05e04f9881d043d681c924671","435","97765d5a8438e1799af914929affdfcd3883703244735a65a51447a7e96abb4a"
"/practice/math/","practice","200","text/html; charset=utf-8","https://bettergrades.net/practice/math/","index, follow","Mathematics practice | Better Grades","Browse free mathematics quizzes, diagnostics, practice exams, and challenges.","1","1","0","0","1878","3cfea1c33b1b17aa1fb51dfc7685c45fab9cc675afdeaefd4ee28c490193975d","387","7509e93eb461dc05e3f517a123d64bdbf18faf83730fe7fddfb6aada134d239f"
"/practice/math/calculus/","practice","200","text/html; charset=utf-8","https://bettergrades.net/practice/math/calculus/","index, follow","Calculus practice | Better Grades","Choose a calculus quiz, diagnostic, practice exam, or challenge.","1","1","0","0","18277","2f719c643f8ed9c743b5537544bd875f6bb1b4211fa457e45e78b4a87b618f91","16371","4e4c4632bdeed0436304c3f59afc2e182a080b28b499e1ab33c9a428b88734d1"
"/answers/","answer","200","text/html; charset=utf-8","https://bettergrades.net/answers/","index, follow","Search the answer bank | Better Grades","Find specific problems, immediate answers, complete solutions, and related practice.","1","1","0","0","5634","065e9fa3a0b9f3ede442a70e8f62c377936fe0ba167e1096351809b663f9e9a4","3779","ca6faa08f96ba8d64d60ebb75bb5cf4ce63a403e75fb6e309570bddae3568d45"
"/answers/calculus/integral-of-sec-cubed/","answer","200","text/html; charset=utf-8","https://bettergrades.net/answers/calculus/integral-of-sec-cubed/","index, follow","What is the integral of sec³x? | Better Grades","See the full integration-by-parts derivation, verification, and common mistakes.","1","1","0","0","5065","f3a361402c7a385b9710aa03b67f913b070de5aaa6e18bd0d38bde71df8dbca4","2241","6ed7c9e1fca08286f4bff1d1baa0f771b12bbf7b5f8de6b0a2f37ef2646b78c3"
"/tools/","tool","200","text/html; charset=utf-8","https://bettergrades.net/tools/","index, follow","Math tools with visible limits | Better Grades","Use practical academic tools that explain what they do and where they may fail.","1","1","0","0","2210","cb9b9c28207a6c09c3c5a99e301faa7d4deef307794c0d71e774879e944393a1","702","108af70395272f9819945d855de9da0fec27f8b67ff06c237822441479e0d02f"
"/glossary/","glossary","200","text/html; charset=utf-8","https://bettergrades.net/glossary/","index, follow","Better Grades glossaries | Better Grades","Browse subject-specific definitions, symbols, and notation conventions.","1","1","0","0","1978","1042c29836e6e682068abb0519e5b3ce80346dca1f251d2b87070ba87e441aeb","481","97ce3293ae31a7399b40bc85cdbae2068487bd3cc7876884ea361a6f891c08f7"
