lesson_id,unit,exercise_set,purpose,recommended_count,canonical_lesson_path,answer_boundary,grading_policy
A0.1,A0,A0.1-P1,Plot and compare signed values.,2-5,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.1,A0,A0.1-P2,Describe multi-step changes.,2-5,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.1,A0,A0.1-P3,Translate subtraction into adding an opposite.,2-5,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.1,A0,A0.1-P4,Diagnose comparison errors involving absolute value.,2-5,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.1,A0,A0.1-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/number-lines-and-signed-quantities/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.2,A0,A0.2-P1,Mental estimation.,2-5,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.2,A0,A0.2-P2,Exact computation.,2-5,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.2,A0,A0.2-P3,Choose a plausible interval for the answer.,2-5,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.2,A0,A0.2-P4,Identify a mistyped or misplaced-decimal result.,2-5,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
A0.2,A0,A0.2-EXIT,Two-item exit check: one direct and one mixed/transfer item.,2,/subjects/math/algebra/arithmetic-readiness/whole-number-operations-and-estimation/,canonical answer and worked solution server-only; public page receives attempt-gated reveal ID,deterministic where mathematically provable; open explanation may return uncertain and expose rubric after attempt
