route,page_role,click_depth_all_links,click_depth_navigation,incoming_link_count,contextual_incoming_count
"/subjects/math/algebra/polynomials-factoring/","quick-answer","2","5","17","8"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","method-guide","3","6","2","0"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","concept-explainer","3","6","2","0"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","method-guide","3","6","3","0"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","method-guide","3","6","3","0"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","method-guide","3","6","3","0"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","3","6","3","0"
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","2","7","16","8"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","concept-explainer","3","8","2","0"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","concept-explainer","3","8","3","0"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","3","8","3","0"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","concept-explainer","3","8","3","0"
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","method-guide","3","8","2","0"
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","method-guide","3","8","3","0"
"/subjects/math/algebra/rational-expressions/","quick-answer","2","6","17","8"
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","method-guide","3","7","3","0"
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","decision-guide","3","7","3","0"
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","concept-explainer","3","7","2","0"
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","method-guide","3","7","2","0"
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","method-guide","3","7","3","0"
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","method-guide","3","7","3","0"
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","decision-guide","3","5","2","0"
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","method-guide","3","5","3","0"
"/subjects/math/algebra/systems-inequalities/elimination-systems/","method-guide","3","5","3","0"
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","method-guide","3","5","2","0"
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","concept-explainer","3","5","3","0"
"/subjects/math/algebra/systems-inequalities/substitution-systems/","method-guide","3","5","3","0"
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","3","","2","1"
"/subjects/math/calculus/derivative-applications/linear-approximation/","concept-explainer","5","","1","0"
"/subjects/math/calculus/derivative-applications/optimization/","method-guide","4","","3","0"
"/subjects/math/calculus/derivative-applications/related-rates/","method-guide","5","","1","0"
"/subjects/math/calculus/derivative-applications/unit-2b-review/","decision-guide","2","","157","154"
"/subjects/math/calculus/derivatives/chain-rule/","method-guide","3","","2","1"
"/subjects/math/calculus/derivatives/derivative-of-x-to-the-x/","quick-answer","3","","2","1"
"/subjects/math/calculus/derivatives/derivatives-of-inverse-trig-functions/","method-guide","3","","2","1"
"/subjects/math/calculus/derivatives/product-rule-vs-quotient-rule/","decision-guide","3","","2","1"
"/subjects/math/calculus/limits-continuity/unit/","decision-guide","2","","83","80"
"/subjects/math/calculus/limits-continuity/unit/limits/cosine-limits/","decision-guide","3","","5","3"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-limits/","decision-guide","2","","12","7"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limit-decision-guide/","decision-guide","3","","8","3"
"/subjects/math/calculus/limits-continuity/unit/limits/trig-limits-review/","decision-guide","3","","2","2"
