target,desktop,mobile,parity
"/","true","false","false"
"/glossary/math/","true","false","false"
"/practice/","true","false","false"
"/practice/math/calculus/","true","false","false"
"/resources/","true","false","false"
"/search/","true","true","true"
"/subjects/math/","true","false","false"
"/subjects/math/algebra/","true","true","true"
"/subjects/math/calculus/","true","true","true"
"/subjects/math/calculus/derivatives/","true","true","true"
"/subjects/math/calculus/integrals/","true","true","true"
"/subjects/math/calculus/limits-continuity/","true","true","true"
"/subjects/math/calculus/sequences-and-series/","true","true","true"
"/tools/","true","false","false"
