route,correctParent,primaryDiscoveryPath,secondaryDiscoveryPath,newMaximumDepth,desktopEntry,mobileEntry
"/glossary/","/","Home > Glossary","Home > Glossary > Mathematics","1","Primary navigation","Mobile menu"
"/practice/math/calculus/exams/calculus-foundations/","/practice/math/calculus/","Home > Learn > Calculus foundations exam","Home > Practice > Calculus > Exam","1","Learn shortcut","Mobile Learn shortcut"
"/subjects/math/calculus/formula-sheets/","/resources/","Home > Resources > Formula Sheets","Home > Calculus > Resources > Formula Sheets","2","Resources","Mobile Resources"
"/subjects/math/calculus/limits-continuity/unit/continuity/continuity-review/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Calculus > Unit 1 > Continuity > Review","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/limits/common-exam-errors/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Calculus > Unit 1 > Limits > Review","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/limits/cumulative-practice/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Practice > Limits","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/limits/epsilon-delta-review/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Calculus > Unit 1 > Formal limits","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/limits/finite-limits-review/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Calculus > Unit 1 > Finite limits","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/limits/formal-infinite-limits/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Calculus > Unit 1 > Infinite limits","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/limits/infinite-behavior-review/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Calculus > Unit 1 > Infinite behavior","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/limits-continuity/unit/study/correct-practice-test/","/subjects/math/calculus/limits-continuity/unit/","Home > Calculus > Unit 1 > Review","Home > Practice > Correction guide","2","Calculus course map","Mobile Calculus course map"
"/subjects/math/calculus/practice-exams/","/resources/","Home > Resources > Practice Exams","Home > Calculus > Resources > Practice Exams","2","Resources","Mobile Resources"
"/subjects/math/calculus/visuals/","/resources/","Home > Resources > Visual Guides","Home > Calculus > Resources > Visual Guides","2","Resources","Mobile Resources"
"/subjects/math/calculus/worked-problems/","/resources/","Home > Resources > Worked Problems","Home > Calculus > Resources > Worked Problems","2","Resources","Mobile Resources"
"/subjects/math/calculus/worksheets/","/resources/","Home > Resources > Worksheets","Home > Calculus > Resources > Worksheets","2","Resources","Mobile Resources"
