target,desktop,mobile,parity
"/","true","true","true"
"/glossary/","true","true","true"
"/glossary/math/","true","true","true"
"/practice/","true","true","true"
"/practice/math/calculus/","true","true","true"
"/practice/math/calculus/exams/calculus-foundations/","true","true","true"
"/resources/","true","true","true"
"/search/","true","true","true"
"/subjects/math/","true","true","true"
"/subjects/math/algebra/","true","true","true"
"/subjects/math/calculus/","true","true","true"
"/subjects/math/calculus/derivatives/","true","true","true"
"/subjects/math/calculus/integrals/","true","true","true"
"/subjects/math/calculus/limits-continuity/","true","true","true"
"/subjects/math/calculus/sequences-and-series/","true","true","true"
"/tools/","true","true","true"
