route,page_role,query_type,query,result_count,exact_rank,first_result,first_result_role
/answers/calculus/integral-of-sec-cubed/,answer,exact_title,What is the integral of sec³x?,110,1,/answers/calculus/integral-of-sec-cubed/,answer
/answers/calculus/integral-of-sec-cubed/,answer,short_title,What is the integral of sec³x?,110,1,/answers/calculus/integral-of-sec-cubed/,answer
/answers/calculus/integral-of-sec-cubed/,answer,slug_without_hyphens,integral of sec cubed,116,1,/answers/calculus/integral-of-sec-cubed/,answer
/answers/calculus/integral-of-sec-cubed/,answer,primary_concept,integral,112,11,/subjects/math/calculus/visuals/riemann-sum-progression/,visual-guide
/answers/calculus/integral-of-sec-cubed/,answer,primary_skill,answer integral,148,9,/subjects/math/calculus/worksheets/integration-by-parts/,worksheet
/glossary/math/absolute-convergence/,glossary-term,exact_title,Absolute convergence,116,1,/glossary/math/absolute-convergence/,glossary-term
/glossary/math/absolute-convergence/,glossary-term,short_title,"Absolute Convergence: Meaning, Notation, and Example",219,14,/subjects/math/calculus/worked-problems/absolute-versus-conditional-convergence/,worked-problem
/glossary/math/absolute-convergence/,glossary-term,slug_without_hyphens,absolute convergence,116,1,/glossary/math/absolute-convergence/,glossary-term
/glossary/math/absolute-convergence/,glossary-term,primary_concept,absolute convergence,116,1,/glossary/math/absolute-convergence/,glossary-term
/glossary/math/absolute-convergence/,glossary-term,primary_skill,glossary term absolute convergence,323,2,/subjects/math/calculus/worked-problems/absolute-versus-conditional-convergence/,worked-problem
/glossary/math/antiderivative/,glossary-term,exact_title,Antiderivative,110,1,/glossary/math/antiderivative/,glossary-term
/glossary/math/antiderivative/,glossary-term,short_title,"Antiderivative: Meaning, Notation, and Example",215,62,/subjects/math/calculus/worked-problems/integration-by-parts-log-x/,worked-problem
/glossary/math/antiderivative/,glossary-term,slug_without_hyphens,antiderivative,110,1,/glossary/math/antiderivative/,glossary-term
/glossary/math/antiderivative/,glossary-term,primary_concept,derivative,202,55,/glossary/math/derivative/,glossary-term
/glossary/math/antiderivative/,glossary-term,primary_skill,glossary term derivative,403,5,/subjects/math/calculus/formula-sheets/derivative-rules/,formula-sheet
/glossary/math/chain-rule/,glossary-term,exact_title,Chain rule,53,1,/glossary/math/chain-rule/,glossary-term
/glossary/math/chain-rule/,glossary-term,short_title,"Chain Rule: Meaning, Notation, and Example",167,19,/subjects/math/calculus/worked-problems/basic-chain-rule/,worked-problem
/glossary/math/chain-rule/,glossary-term,slug_without_hyphens,chain rule,53,1,/glossary/math/chain-rule/,glossary-term
/glossary/math/chain-rule/,glossary-term,primary_concept,chain-rule,53,1,/glossary/math/chain-rule/,glossary-term
/glossary/math/chain-rule/,glossary-term,primary_skill,glossary term chain-rule,271,10,/subjects/math/calculus/worksheets/chain-rule/,worksheet
/glossary/math/continuity/,glossary-term,exact_title,Continuity,90,1,/glossary/math/continuity/,glossary-term
/glossary/math/continuity/,glossary-term,short_title,"Continuity: Meaning, Notation, and Example",204,37,/subjects/math/calculus/limits-continuity/unit/limits/meaning-practice/,textbook-lesson
/glossary/math/continuity/,glossary-term,slug_without_hyphens,continuity,90,1,/glossary/math/continuity/,glossary-term
/glossary/math/continuity/,glossary-term,primary_concept,continuity,90,1,/glossary/math/continuity/,glossary-term
/glossary/math/continuity/,glossary-term,primary_skill,glossary term continuity,316,5,/subjects/math/calculus/limits-continuity/unit/continuity/intermediate-value-theorem/,textbook-lesson
/glossary/math/conventions/,glossary-term,exact_title,Mathematics variable and notation conventions,237,1,/glossary/math/conventions/,glossary-term
/glossary/math/conventions/,glossary-term,short_title,"Letters should carry meaning, not decorative noise.",108,24,/subjects/math/calculus/derivatives/notation-and-units/,textbook-lesson
/glossary/math/conventions/,glossary-term,slug_without_hyphens,conventions,1,1,/glossary/math/conventions/,glossary-term
/glossary/math/conventions/,glossary-term,primary_concept,conventions,1,1,/glossary/math/conventions/,glossary-term
/glossary/math/conventions/,glossary-term,primary_skill,glossary term conventions,232,1,/glossary/math/conventions/,glossary-term
/glossary/math/critical-number/,glossary-term,exact_title,Critical number,14,1,/glossary/math/critical-number/,glossary-term
/glossary/math/critical-number/,glossary-term,short_title,"Critical Number: Meaning, Notation, and Example",132,2,/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/,textbook-lesson
/glossary/math/critical-number/,glossary-term,slug_without_hyphens,critical number,14,1,/glossary/math/critical-number/,glossary-term
/glossary/math/critical-number/,glossary-term,primary_concept,critical number,14,1,/glossary/math/critical-number/,glossary-term
/glossary/math/critical-number/,glossary-term,primary_skill,glossary term critical number,240,1,/glossary/math/critical-number/,glossary-term
/glossary/math/definite-integral/,glossary-term,exact_title,Definite integral,111,1,/glossary/math/definite-integral/,glossary-term
/glossary/math/definite-integral/,glossary-term,short_title,"Definite Integral: Meaning, Notation, and Example",216,18,/subjects/math/calculus/worked-problems/integration-by-parts-log-x/,worked-problem
/glossary/math/definite-integral/,glossary-term,slug_without_hyphens,definite integral,111,1,/glossary/math/definite-integral/,glossary-term
/glossary/math/definite-integral/,glossary-term,primary_concept,integral,112,24,/subjects/math/calculus/visuals/riemann-sum-progression/,visual-guide
/glossary/math/definite-integral/,glossary-term,primary_skill,glossary term integral,327,14,/subjects/math/calculus/worksheets/integration-by-parts/,worksheet
/glossary/math/derivative/,glossary-term,exact_title,Derivative,202,1,/glossary/math/derivative/,glossary-term
/glossary/math/derivative/,glossary-term,short_title,"Derivative: Meaning, Notation, and Example",286,48,/subjects/math/calculus/derivatives/notation-and-units/,textbook-lesson
/glossary/math/derivative/,glossary-term,slug_without_hyphens,derivative,202,1,/glossary/math/derivative/,glossary-term
/glossary/math/derivative/,glossary-term,primary_concept,derivative,202,1,/glossary/math/derivative/,glossary-term
/glossary/math/derivative/,glossary-term,primary_skill,glossary term derivative,403,12,/subjects/math/calculus/formula-sheets/derivative-rules/,formula-sheet
