articleId,articlePath,articleRole,candidateLessonId,candidateLessonPath,score,sharedConcepts,sharedSkills,contentSimilarity,intentSimilarity,conflictFlag,recommendedDecision,recommendedPlacement,recommendedAnchor,editorialDecision,editorialNotes
"article.answer-cal-int-sec3","/answers/calculus/integral-of-sec-cubed/","answer","textbook-lesson.subjects-math-calculus-sequences-and-series-integral-test","/subjects/math/calculus/sequences-and-series/integral-test/","8","integral","","0.333","0.333","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.answer-cal-int-sec3","/answers/calculus/integral-of-sec-cubed/","answer","textbook-lesson.subjects-math-calculus-integrals-indefinite-integrals-and-c","/subjects/math/calculus/integrals/indefinite-integrals-and-c/","8","integral","","0.313","0.313","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.answer-cal-int-sec3","/answers/calculus/integral-of-sec-cubed/","answer","textbook-lesson.subjects-math-calculus-integrals-net-change-theorem","/subjects/math/calculus/integrals/net-change-theorem/","8","integral","","0.286","0.286","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.answer-cal-parts-when","/learn/calculus/integration-by-parts/","method-guide","textbook-lesson.subjects-math-calculus-integrals-integration-by-parts","/subjects/math/calculus/integrals/integration-by-parts/","8","integration-by-parts","","0.333","0.333","","PRIMARY_CONTEXTUAL_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.answer-cal-parts-when","/learn/calculus/integration-by-parts/","method-guide","textbook-lesson.subjects-math-calculus-integrals-indefinite-integrals-and-c","/subjects/math/calculus/integrals/indefinite-integrals-and-c/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.answer-cal-parts-when","/learn/calculus/integration-by-parts/","method-guide","textbook-lesson.subjects-math-calculus-sequences-and-series-harmonic-and-p-series","/subjects/math/calculus/sequences-and-series/harmonic-and-p-series/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-expressions-equations","/subjects/math/algebra/expressions-equations/","quick-answer","textbook-lesson.subjects-math-calculus-power-series-and-taylor-series-algebra-with-power-series","/subjects/math/calculus/power-series-and-taylor-series/algebra-with-power-series/","4","","","0.250","0.250","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-expressions-equations","/subjects/math/algebra/expressions-equations/","quick-answer","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-implicit-second-derivative","/subjects/math/calculus/derivatives/implicit-second-derivative/","4","","","0.231","0.231","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.topic-math-algebra-expressions-equations","/subjects/math/algebra/expressions-equations/","quick-answer","textbook-lesson.limits.calculus-continuity-continuity-concept-quiz","/subjects/math/calculus/limits-continuity/unit/continuity/continuity-concept-quiz/","4","","","0.222","0.222","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
"article.resource-math-algebra-expressions-equations-combining-like-terms","/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","textbook-lesson.calc-1-unit-2a-derivative-foundations-techniques-combined-rules","/subjects/math/calculus/derivatives/combined-rules/","4","","","0.158","0.158","","SECONDARY_CANDIDATE","After the concise explanation or worked example","Learn this fully","",""
