lessonId,lessonPath,category,decision,targetId,targetPath,relationshipType,placement,anchorText,approvalBasis,confidence,deferReason
textbook-lesson.math.algebra.a0-6,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-6,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-6,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-6,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-6,/subjects/math/algebra/arithmetic-readiness/adding-subtracting-and-complex-fractions/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-3,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-3,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-3,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,worked-example,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-3,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,reference,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-3,/subjects/math/algebra/arithmetic-readiness/factors-primes-gcf-and-lcm/,tool-or-visual,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-4,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,practice,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
textbook-lesson.math.algebra.a0-4,/subjects/math/algebra/arithmetic-readiness/fractions-as-numbers/,quick-explanation,NO_CANDIDATE,,,,,,,,No candidate was produced for this lesson and role.
