lesson,companion,companion_role,confidence
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-notes/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","/subjects/math/calculus/worked-problems/open-top-box-optimization/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/approximation-review/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/common-errors/","/subjects/math/calculus/worked-problems/fencing-optimization/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/common-errors/","/subjects/math/calculus/worked-problems/open-top-box-optimization/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/common-errors/","/subjects/math/calculus/worksheets/optimization/","worksheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/concavity/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/curve-sketching/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/differentials/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/error-estimation/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpretation-review/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-review/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/linearization-practice/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/local-linearity/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/subjects/math/calculus/worked-problems/limit-by-factoring/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/subjects/math/calculus/worked-problems/limit-by-rationalization/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/subjects/math/calculus/worked-problems/limit-comparison-example/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/subjects/math/calculus/worked-problems/one-sided-piecewise-limit/","worked-problem","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/medication-concentration/","/subjects/math/calculus/worksheets/evaluating-limits/","worksheet","high-confidence-inferred"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","/subjects/math/calculus/worked-problems/fundamental-theorem-derivative/","worked-problem","high-confidence-inferred"
