lesson,finding,confidence
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/advanced-notes/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/approximation-review/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/common-errors/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/concavity/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/curve-sketching/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/differentials/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/error-estimation/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/interpretation-review/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/lhopital-review/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/lhopital-rule/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/linearization-practice/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/local-linearity/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/marginal-analysis/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/medication-concentration/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/modeling-studio/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/optimization-business-science/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/optimization-closed-interval/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/optimization-concept-quiz/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/optimization-geometry/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/optimization-modeling/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/optimization-review/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/practice-exam-a/","No incoming sequential textbook edge","machine-observed"
"/subjects/math/calculus/derivative-applications/practice-exam-b-answer-key/","No incoming sequential textbook edge","machine-observed"
