source,target,anchor_text,link_type,target_page_role
"/","/","≥ Better Grades","global-navigation","home"
"/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/","/resources/","Resources","global-navigation","resource-library"
"/","/practice/","Practice","global-navigation","directory"
"/","/tools/","Tools","global-navigation","directory"
"/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/","/search/","⌕ Search","global-navigation","search"
"/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/","/subjects/math/algebra/","x Mathematics · Foundations Algebra Equations, linear relationships, systems, polynomials, rational expressions, radicals, and functions—built as one connected toolkit. Connected guides and course maps Browse algebra →","hub-listing","course-hub"
"/","/subjects/math/calculus/","∫ Mathematics · Change & accumulation Calculus Limits, derivatives, integrals, applications, sequences, and series in one connected course map. Connected guides and course maps Browse calculus →","hub-listing","course-hub"
"/","/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","01 Algebra · Concept explainer Order of operations with variables: what actually comes first? Parentheses and exponents set the structure; multiplication, division, addition, and subtraction then move left to right within their own level. Algebra I Concept explainer ↗","hub-listing","method-guide"
"/","/subjects/math/algebra/expressions-equations/combining-like-terms/","02 Algebra · Method guide Combining like terms without combining things that only look alike Terms combine only when their variable parts match exactly. The coefficients change; the variable structure does not. Algebra I Method guide ↗","hub-listing","method-guide"
"/","/subjects/math/algebra/expressions-equations/distributive-property/","03 Algebra · Concept explainer The distributive property: why the outside factor reaches every term Distribution is multiplication across a sum. It expands an expression without changing its value—and it works in reverse when factoring. Algebra I Concept explainer ↗","hub-listing","method-guide"
"/","/subjects/math/algebra/expressions-equations/solving-linear-equations/","04 Algebra · Method guide Solving linear equations: keep the balance, not a bag of tricks An equation stays true when the same legal operation is applied to both sides. Simplify, isolate, and check. Algebra I Method guide ↗","hub-listing","decision-guide"
"/","/subjects/math/algebra/expressions-equations/variables-on-both-sides/","05 Algebra · Decision guide Variables on both sides: which side should you move them to? Either side can work. Choose the direction that keeps the variable coefficient positive and the arithmetic easy to audit. Algebra I Decision guide ↗","hub-listing","decision-guide"
"/","/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","06 Algebra · Concept explainer Slope is a rate of change, not just rise over run Slope measures how much the output changes for each one-unit change in the input. Its sign, size, and units all carry meaning. Algebra I Concept explainer ↗","hub-listing","quick-answer"
"/","/subjects/math/","Browse all mathematics →","hub-listing","subject-hub"
"/","/corrections/","03 Corrections →","hub-listing","policy"
"/","/source-policy/","04 Sources & licensing →","hub-listing","policy"
"/","/","≥ Better Grades","footer","home"
"/","/subjects/","Subjects","footer","subject-hub"
"/","/resources/","Resources","footer","resource-library"
"/","/answers/","Answers","footer","directory"
"/","/tools/","Tools","footer","directory"
"/","/practice/","Practice","footer","directory"
"/","/glossary/math/","Math glossary","footer","glossary-hub"
"/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/","/how-we-verify/","How we verify","footer","policy"
"/","/editorial-policy/","Editorial policy","footer","policy"
"/","/source-policy/","Sources & licensing","footer","policy"
"/","/corrections/","Corrections","footer","policy"
"/","/about/","Why Better Grades","footer","policy"
"/","/privacy/","Privacy","footer","policy"
"/","/accessibility/","Accessibility","footer","policy"
"/about/","/","≥ Better Grades","global-navigation","home"
"/about/","/subjects/math/algebra/","Algebra Foundations through functions","global-navigation","course-hub"
"/about/","/subjects/math/calculus/","Calculus The complete course navigator","global-navigation","course-hub"
"/about/","/subjects/math/","All mathematics Browse every course and resource","global-navigation","subject-hub"
"/about/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","global-navigation","unit-hub"
"/about/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","global-navigation","unit-hub"
"/about/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","global-navigation","unit-hub"
"/about/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","global-navigation","unit-hub"
"/about/","/search/","Find an answer Search lessons, methods, and examples","global-navigation","search"
"/about/","/practice/math/calculus/","Calculus practice Quizzes, reviews, and exams","global-navigation","assessment"
"/about/","/resources/","Resources","global-navigation","resource-library"
"/about/","/practice/","Practice","global-navigation","directory"
"/about/","/tools/","Tools","global-navigation","directory"
"/about/","/glossary/math/","Glossary","global-navigation","glossary-hub"
"/about/","/search/","⌕ Search","global-navigation","search"
"/about/","/search/","Search Find a lesson or answer","mobile-navigation","search"
"/about/","/subjects/math/algebra/","Algebra Open the course","mobile-navigation","course-hub"
"/about/","/subjects/math/calculus/","Calculus Open the full course map","mobile-navigation","course-hub"
"/about/","/subjects/math/calculus/limits-continuity/","Chapter 1 Limits and Continuity","mobile-navigation","unit-hub"
"/about/","/subjects/math/calculus/derivatives/","Chapter 2 Derivatives · Units 2A and 2B","mobile-navigation","unit-hub"
"/about/","/subjects/math/calculus/integrals/","Chapter 3 Integrals · Units 3A and 3B","mobile-navigation","unit-hub"
"/about/","/subjects/math/calculus/sequences-and-series/","Chapter 4 Sequences and Series · Units 4A and 4B","mobile-navigation","unit-hub"
"/about/","/","≥ Better Grades","footer","home"
"/about/","/subjects/","Subjects","footer","subject-hub"
"/about/","/resources/","Resources","footer","resource-library"
"/about/","/answers/","Answers","footer","directory"
"/about/","/tools/","Tools","footer","directory"
"/about/","/practice/","Practice","footer","directory"
"/about/","/glossary/math/","Math glossary","footer","glossary-hub"
"/about/","/glossary/math/conventions/","Math conventions","footer","glossary-term"
"/about/","/how-we-verify/","How we verify","footer","policy"
