route,page_role,incoming_link_count,global_navigation_incoming_count,footer_incoming_count
"/","home","1652","988","494"
"/about/","policy","509","0","494"
"/accessibility/","policy","509","0","494"
"/corrections/","policy","510","0","494"
"/editorial-policy/","policy","510","0","494"
"/glossary/","glossary-hub","1","0","0"
"/glossary/math/antiderivative/","glossary-term","3","0","0"
"/glossary/math/fundamental-theorem-calculus/","glossary-term","3","0","0"
"/glossary/math/improper-integral/","glossary-term","3","0","0"
"/glossary/math/optimization/","glossary-term","4","0","1"
"/glossary/math/power-series/","glossary-term","3","0","0"
"/glossary/math/radius-of-convergence/","glossary-term","3","0","0"
"/glossary/math/related-rates/","glossary-term","3","0","0"
"/glossary/math/sequence/","glossary-term","3","0","0"
"/glossary/math/series/","glossary-term","3","0","0"
"/glossary/math/u-substitution/","glossary-term","3","0","0"
"/how-we-verify/","policy","510","0","494"
"/practice/math/","directory","1","0","0"
"/privacy/","policy","509","0","494"
"/search/","search","1024","988","0"
"/source-policy/","policy","510","0","494"
"/subjects/math/","subject-hub","414","0","0"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","5","0","0"
"/subjects/math/algebra/expressions-equations/distributive-property/","concept-explainer","5","0","0"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","2","0","0"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","method-guide","5","0","0"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","5","0","0"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","method-guide","4","0","0"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","method-guide","2","0","0"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","4","0","0"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","concept-explainer","4","0","0"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","decision-guide","4","0","0"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","concept-explainer","4","0","0"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","method-guide","2","0","0"
