route,page_role,from_home_all,from_home_navigation,from_home_contextual
"/","home","0","0","0"
"/about/","policy","1","1",""
"/accessibility/","policy","1","1",""
"/answers/","directory","1","1","1"
"/answers/calculus/integral-of-sec-cubed/","answer","1","2","1"
"/corrections/","policy","1","1",""
"/editorial-policy/","policy","1","1",""
"/glossary/","glossary-hub","","",""
"/glossary/math/","glossary-hub","1","1",""
"/glossary/math/absolute-convergence/","glossary-term","2","2",""
"/glossary/math/antiderivative/","glossary-term","2","2",""
"/glossary/math/chain-rule/","glossary-term","2","2",""
"/glossary/math/continuity/","glossary-term","2","2",""
"/glossary/math/conventions/","glossary-term","1","1",""
"/glossary/math/critical-number/","glossary-term","2","2",""
"/glossary/math/definite-integral/","glossary-term","2","2",""
"/glossary/math/derivative/","glossary-term","2","2",""
"/glossary/math/fundamental-theorem-calculus/","glossary-term","2","2",""
"/glossary/math/geometric-series/","glossary-term","2","2",""
"/glossary/math/implicit-differentiation/","glossary-term","2","2",""
"/glossary/math/improper-integral/","glossary-term","2","2",""
"/glossary/math/integration-by-parts/","glossary-term","2","2",""
"/glossary/math/limit/","glossary-term","2","2",""
"/glossary/math/local-maximum/","glossary-term","2","2",""
"/glossary/math/local-minimum/","glossary-term","2","2",""
"/glossary/math/one-sided-limit/","glossary-term","2","2",""
"/glossary/math/optimization/","glossary-term","2","2",""
"/glossary/math/power-series/","glossary-term","2","2",""
"/glossary/math/radius-of-convergence/","glossary-term","2","2",""
"/glossary/math/related-rates/","glossary-term","2","2",""
"/glossary/math/sequence/","glossary-term","2","2",""
"/glossary/math/series/","glossary-term","2","2",""
"/glossary/math/taylor-series/","glossary-term","2","2",""
"/glossary/math/u-substitution/","glossary-term","2","2",""
"/how-we-verify/","policy","1","1",""
"/learn/calculus/integration-by-parts/","method-guide","1","2","1"
"/practice/","directory","1","1","1"
"/practice/math/","assessment","2","2",""
"/practice/math/calculus/","assessment","1","1",""
"/practice/math/calculus/challenges/integration-bee/","assessment","1","","1"
"/practice/math/calculus/diagnostics/calculus-readiness/","assessment","1","","1"
"/practice/math/calculus/exams/calculus-foundations/","practice-exam","2","",""
"/practice/math/calculus/quizzes/integration-method-selection/","assessment","1","","1"
"/privacy/","policy","1","1",""
"/resources/","resource-library","1","1",""
"/search/","search","1","1",""
"/source-policy/","policy","1","1",""
"/subjects/","subject-hub","1","1","1"
"/subjects/math/","subject-hub","1","1",""
"/subjects/math/algebra/","course-hub","1","1",""
"/subjects/math/algebra/expressions-equations/","quick-answer","2","",""
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","1","1",""
"/subjects/math/algebra/expressions-equations/distributive-property/","method-guide","1","1",""
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","2","",""
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","method-guide","1","1",""
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","decision-guide","1","1",""
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","1","1",""
"/subjects/math/algebra/linear-relationships/","quick-answer","2","",""
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","decision-guide","2","2",""
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","3","",""
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","2","2",""
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","decision-guide","2","2",""
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","quick-answer","2","2",""
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","quick-answer","1","1",""
"/subjects/math/algebra/polynomials-factoring/","quick-answer","2","",""
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","3","",""
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","method-guide","2","",""
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","decision-guide","3","",""
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","decision-guide","2","",""
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","decision-guide","2","",""
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","3","",""
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","2","",""
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","3","",""
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","quick-answer","2","",""
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","3","",""
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","method-guide","3","",""
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","method-guide","3","",""
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","method-guide","3","",""
"/subjects/math/algebra/rational-expressions/","quick-answer","2","",""
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","method-guide","3","",""
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","quick-answer","3","",""
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","method-guide","3","",""
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","method-guide","3","",""
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","method-guide","3","",""
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","method-guide","3","",""
"/subjects/math/algebra/systems-inequalities/","quick-answer","2","",""
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","decision-guide","3","",""
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","method-guide","3","",""
"/subjects/math/algebra/systems-inequalities/elimination-systems/","decision-guide","3","",""
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","decision-guide","3","",""
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","decision-guide","2","",""
"/subjects/math/algebra/systems-inequalities/substitution-systems/","decision-guide","3","",""
"/subjects/math/calculus/","course-hub","1","1",""
"/subjects/math/calculus/derivative-applications/","unit-hub","2","2",""
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/advanced-convexity/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/advanced-notes/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/approximation-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/closed-interval-method/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/common-errors/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/concavity/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/cumulative-practice/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","method-guide","3","",""
"/subjects/math/calculus/derivative-applications/curve-sketching/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/derivative-graphs/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/differentials/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/error-estimation/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/first-derivative-test/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/interpretation-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/lhopital-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/lhopital-rule/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/linear-approximation/","method-guide","3","",""
"/subjects/math/calculus/derivative-applications/linearization-practice/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/local-linearity/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/marginal-analysis/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/medication-concentration/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/modeling-studio-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/modeling-studio/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/newtons-method/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/optimization-business-science/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/optimization-closed-interval/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/optimization-concept-quiz/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/optimization-geometry/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/optimization-modeling/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/optimization-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/optimization/","method-guide","3","",""
"/subjects/math/calculus/derivative-applications/other-indeterminate-forms/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/position-velocity-acceleration/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/practice-exam-a-answer-key/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/practice-exam-a/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/practice-exam-b-answer-key/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/practice-exam-b/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/radar-tracking/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/rates-from-data/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/reference/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-angle/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-concept-quiz/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/related-rates-mixed/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-pythagorean/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-shadows/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-volume/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/related-rates-workflow/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivative-applications/related-rates/","method-guide","4","",""
"/subjects/math/calculus/derivative-applications/repeated-lhopital/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/rolles-theorem/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/second-derivative-test/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/speeding-up-slowing-down/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/stopping-distance/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/theorems-shape-concept-quiz/","textbook-lesson","2","3",""
"/subjects/math/calculus/derivative-applications/theorems-shape-review/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/unit-2b-review/","decision-guide","2","4",""
"/subjects/math/calculus/derivative-applications/when-not-lhopital/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/why-linear-approximation-works/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivative-applications/why-related-rates-feel-hard/","textbook-lesson","3","3",""
"/subjects/math/calculus/derivatives/","unit-hub","1","1",""
"/subjects/math/calculus/derivatives/advanced-chain-rule-linear-maps/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/advanced-darboux-derivatives/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/advanced-implicit-function-theorem/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/advanced-local-linearity-little-o/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/advanced-notes-2a/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/chain-exp-log/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/chain-rule-basic/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/chain-rule-concept-quiz/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/chain-rule-map/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/chain-rule-review/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/chain-rule/","method-guide","2","",""
"/subjects/math/calculus/derivatives/chain-trig/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/combined-rules/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/composition/","textbook-lesson","2","2",""
"/subjects/math/calculus/derivatives/core-rules-concept-quiz/","textbook-lesson","2","2",""
