task,viewport,starting_route,target_route,success,click_count,menu_open_count,search_used,result_rank,backtrack_count,ambiguous_choices,dead_ends,path,notes
"Find the Calculus course from the homepage","desktop","/","/subjects/math/calculus/","true","1","0","false","","0","0","0","/ > /subjects/math/calculus/","Automated exact-destination task completed."
"Find Unit 4A from the homepage","desktop","/","/subjects/math/calculus/sequences-and-series/","true","2","0","true","39","0","38","0","/ > /search/ > /subjects/math/calculus/sequences-and-series/","Automated exact-destination task completed."
"Find the full Geometric Series textbook lesson","desktop","/","/subjects/math/calculus/sequences-and-series/geometric-series/","true","2","0","true","2","0","1","0","/ > /search/ > /subjects/math/calculus/sequences-and-series/geometric-series/","Automated exact-destination task completed."
"Find the Geometric Series worksheet","desktop","/","/subjects/math/calculus/worksheets/geometric-series/","true","2","0","true","41","0","40","0","/ > /search/ > /subjects/math/calculus/worksheets/geometric-series/","Automated exact-destination task completed."
"Find the Chain Rule lesson","desktop","/","/subjects/math/calculus/derivatives/chain-rule-basic/","true","2","0","true","1","0","0","0","/ > /search/ > /subjects/math/calculus/derivatives/chain-rule-basic/","Automated exact-destination task completed."
"Find the Chain Rule worksheet","desktop","/","/subjects/math/calculus/worksheets/chain-rule/","true","2","0","true","40","0","39","0","/ > /search/ > /subjects/math/calculus/worksheets/chain-rule/","Automated exact-destination task completed."
"Find the Derivative Rules formula sheet","desktop","/","/subjects/math/calculus/formula-sheets/derivative-rules/","true","2","0","true","1","0","0","0","/ > /search/ > /subjects/math/calculus/formula-sheets/derivative-rules/","Automated exact-destination task completed."
"Find the Calculus I practice final","desktop","/","/subjects/math/calculus/practice-exams/calculus-1-final/","true","2","0","true","4","0","3","0","/ > /search/ > /subjects/math/calculus/practice-exams/calculus-1-final/","Automated exact-destination task completed."
"Find the Calculus II practice final","desktop","/","/subjects/math/calculus/practice-exams/calculus-2-final/","true","2","0","true","5","0","4","0","/ > /search/ > /subjects/math/calculus/practice-exams/calculus-2-final/","Automated exact-destination task completed."
"Find the Convergence Tests visual guide","desktop","/","/subjects/math/calculus/visuals/convergence-tests-flowchart/","true","2","0","true","1","0","0","0","/ > /search/ > /subjects/math/calculus/visuals/convergence-tests-flowchart/","Automated exact-destination task completed."
"Find a specific glossary term","desktop","/","/glossary/math/absolute-convergence/","true","2","0","false","","0","0","0","/ > /search/ > /glossary/math/absolute-convergence/","Automated exact-destination task completed."
"Find a known article from its exact title","desktop","/search/","/learn/calculus/integration-by-parts/","true","2","0","true","4","0","3","0","/search/ > /search/ > /learn/calculus/integration-by-parts/","Automated exact-destination task completed."
"Find a known page using part of its URL slug","desktop","/search/","/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","true","2","0","true","1","0","0","0","/search/ > /search/ > /subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","Automated exact-destination task completed."
"Move from a short-form article to the exact full textbook lesson","desktop","/subjects/math/calculus/derivative-applications/linear-approximation/","/subjects/math/calculus/derivative-applications/local-linearity/","true","2","0","true","1","0","0","0","/subjects/math/calculus/derivative-applications/linear-approximation/ > /search/ > /subjects/math/calculus/derivative-applications/local-linearity/","Automated exact-destination task completed."
"Move from a textbook lesson to exact practice","desktop","/subjects/math/calculus/derivatives/chain-rule-basic/","/subjects/math/calculus/worksheets/chain-rule/","true","2","0","false","","0","0","0","/subjects/math/calculus/derivatives/chain-rule-basic/ > /subjects/math/calculus/derivatives/ > /subjects/math/calculus/worksheets/chain-rule/","Automated exact-destination task completed."
"Move from a worked problem to the full lesson","desktop","/subjects/math/calculus/worked-problems/absolute-versus-conditional-convergence/","/subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/","true","1","0","false","","0","0","0","/subjects/math/calculus/worked-problems/absolute-versus-conditional-convergence/ > /subjects/math/calculus/sequences-and-series/choosing-a-convergence-test/","Automated exact-destination task completed."
"Move from a glossary term to the full lesson","desktop","/glossary/math/chain-rule/","/subjects/math/calculus/derivatives/chain-rule-basic/","true","2","0","false","","0","0","0","/glossary/math/chain-rule/ > /subjects/math/calculus/derivatives/ > /subjects/math/calculus/derivatives/chain-rule-basic/","Automated exact-destination task completed."
"Find the Resources library from mobile navigation","desktop","/","/resources/","true","1","0","false","","0","0","0","/ > /resources/","Automated exact-destination task completed."
"Find a lesson with JavaScript disabled","desktop","/","/subjects/math/calculus/sequences-and-series/geometric-series/","true","2","0","false","","0","0","0","/ > /subjects/math/calculus/sequences-and-series/ > /subjects/math/calculus/sequences-and-series/geometric-series/","JavaScript disabled for the complete task."
"Distinguish page roles for the same concept in search","desktop","/search/","/search/","true","0","0","true","","0","48","0","/search/","Automated exact-destination task completed."
"Find the Calculus course from the homepage","tablet","/","/subjects/math/calculus/","true","1","0","false","","0","0","0","/ > /subjects/math/calculus/","Automated exact-destination task completed."
