route,primary_concept,secondary_concepts,confidence
"/","concept.general.general","","high-confidence-inferred"
"/about/","concept.general.about","","high-confidence-inferred"
"/accessibility/","concept.general.accessibility","","high-confidence-inferred"
"/answers/","concept.general.answers","","high-confidence-inferred"
"/answers/calculus/integral-of-sec-cubed/","concept.calculus.integral","","high-confidence-inferred"
"/corrections/","concept.general.corrections","","high-confidence-inferred"
"/editorial-policy/","concept.general.editorial-policy","","high-confidence-inferred"
"/glossary/","concept.general.glossary","","high-confidence-inferred"
"/glossary/math/","concept.general.math","","high-confidence-inferred"
"/glossary/math/absolute-convergence/","concept.general.absolute-convergence","","high-confidence-inferred"
"/glossary/math/antiderivative/","concept.general.derivative","","high-confidence-inferred"
"/glossary/math/chain-rule/","concept.general.chain-rule","","high-confidence-inferred"
"/glossary/math/continuity/","concept.general.continuity","","high-confidence-inferred"
"/glossary/math/conventions/","concept.general.conventions","","high-confidence-inferred"
"/glossary/math/critical-number/","concept.general.critical-number","","high-confidence-inferred"
"/glossary/math/definite-integral/","concept.calculus.integral","","high-confidence-inferred"
"/glossary/math/derivative/","concept.general.derivative","","high-confidence-inferred"
"/glossary/math/fundamental-theorem-calculus/","concept.general.fundamental-theorem-calculus","","high-confidence-inferred"
"/glossary/math/geometric-series/","concept.general.geometric-series","","high-confidence-inferred"
"/glossary/math/implicit-differentiation/","concept.general.derivative","","high-confidence-inferred"
"/glossary/math/improper-integral/","concept.calculus.integral","","high-confidence-inferred"
"/glossary/math/integration-by-parts/","concept.general.integration-by-parts","","high-confidence-inferred"
"/glossary/math/limit/","concept.general.limit","","high-confidence-inferred"
"/glossary/math/local-maximum/","concept.general.local-maximum","","high-confidence-inferred"
"/glossary/math/local-minimum/","concept.general.local-minimum","","high-confidence-inferred"
"/glossary/math/one-sided-limit/","concept.general.limit","","high-confidence-inferred"
"/glossary/math/optimization/","concept.general.optimization","","high-confidence-inferred"
"/glossary/math/power-series/","concept.general.power-series","","high-confidence-inferred"
"/glossary/math/radius-of-convergence/","concept.general.radius-of-convergence","","high-confidence-inferred"
"/glossary/math/related-rates/","concept.general.related-rates","","high-confidence-inferred"
"/glossary/math/sequence/","concept.general.sequence","","high-confidence-inferred"
"/glossary/math/series/","concept.general.series","","high-confidence-inferred"
"/glossary/math/taylor-series/","concept.general.taylor-series","","high-confidence-inferred"
"/glossary/math/u-substitution/","concept.general.u-substitution","","high-confidence-inferred"
"/how-we-verify/","concept.general.how-we-verify","","high-confidence-inferred"
"/learn/calculus/integration-by-parts/","concept.general.integration-by-parts","","high-confidence-inferred"
"/practice/","concept.general.practice","","high-confidence-inferred"
"/practice/math/","concept.general.math","","high-confidence-inferred"
"/practice/math/calculus/","concept.calculus.calculus","","high-confidence-inferred"
"/practice/math/calculus/challenges/integration-bee/","concept.calculus.integral","","high-confidence-inferred"
"/practice/math/calculus/diagnostics/calculus-readiness/","concept.calculus.calculus-readiness","","high-confidence-inferred"
