route,stable_audit_id,current_registry_id,page_role,other_reason,content_system,subject,course,unit,topic,title,short_title,h1,meta_description,canonical,robots_index,robots_follow,structured_data_types,breadcrumb_path,primary_parent,sequence_position,word_count,main_content_word_count,words_before_first_substantive_content,dom_nodes_before_first_substantive_content,viewport_height_before_first_substantive_content,incoming_link_count,outgoing_link_count,contextual_incoming_count,contextual_outgoing_count,global_navigation_incoming_count,breadcrumb_incoming_count,sequential_incoming_count,footer_incoming_count,click_depth_all_links,click_depth_navigation,click_depth_contextual,search_aliases,url_aliases,current_search_terms,current_related_pages,current_related_tools,current_related_assessments,current_related_resources,last_reviewed,sitemap_segment
"/","ia-8a5edab282632443","route:/","home","","site-shell","","","","general","Better Grades — Free answers, full explanations","Better Grades","Better Grades","Find free academic answers, complete explanations, practical tools, and focused practice.","https://bettergrades.net/","true","true","Organization|ImageObject|WebSite","","/","1","1028","847","0","2","","1652","73","0","14","988","133","0","494","0","0","0","","","general|Better Grades","/subjects/|/practice/|/resources/|/answers/calculus/integral-of-sec-cubed/|/practice/math/calculus/quizzes/integration-method-selection/|/answers/calculus/integral-of-sec-cubed/|/answers/|/answers/|/learn/calculus/integration-by-parts/|/answers/|/answers/|/tools/math/calculus/integration-method-finder/|/practice/|/practice/math/calculus/diagnostics/calculus-readiness/","/tools/math/calculus/integration-method-finder/","/practice/|/practice/math/calculus/quizzes/integration-method-selection/|/practice/|/practice/math/calculus/diagnostics/calculus-readiness/","","","pages"
"/about/","ia-4f10f17be161adfe","route:/about/","policy","","site-shell","","","","about","Better Grades | Better Grades","Built to teach, not tease.","Built to teach, not tease.","Better Grades publishing and product standards.","https://bettergrades.net/about/","true","true","Organization|ImageObject|WebSite","","/","2","299","120","0","1","","509","43","0","0","0","0","0","494","1","2","","","","about|Built to teach, not tease.|about","","","","","","pages"
"/accessibility/","ia-8937748044a4b4fb","route:/accessibility/","policy","","site-shell","","","","accessibility","Better Grades | Better Grades","Math help should not add obstacles.","Math help should not add obstacles.","Better Grades publishing and product standards.","https://bettergrades.net/accessibility/","true","true","Organization|ImageObject|WebSite","","/","3","273","94","0","1","","509","43","0","0","0","0","0","494","1","2","","","","accessibility|Math help should not add obstacles.|accessibility","","","","","","pages"
"/answers/","ia-eb86820e15091430","route:/answers/","directory","","site-shell","","","","answers","Search the answer bank | Better Grades","Search the calculus library.","Search the calculus library.","Find specific problems, immediate answers, complete solutions, and related practice.","https://bettergrades.net/answers/","true","true","Organization|ImageObject|WebSite","","/","4","929","748","0","1","","520","56","6","0","0","1","0","494","1","2","1","","","answers|Search the calculus library.|answers","","","","","","pages"
"/answers/calculus/integral-of-sec-cubed/","ia-b0521894b4623125","route:/answers/calculus/integral-of-sec-cubed/","answer","","answer-bank","","calculus","","integral","What is the integral of sec³x? | Better Grades","What is the integral of sec³x?","What is the integral of sec³x?","See the full integration-by-parts derivation, verification, and common mistakes.","https://bettergrades.net/answers/calculus/integral-of-sec-cubed/","true","true","Organization|ImageObject|WebSite","Answers","/answers/","5","1098","749","6","8","","6","50","5","3","0","0","0","0","1","3","1","","","integral|What is the integral of sec³x?|integral of sec cubed","/learn/calculus/integration-by-parts/|/practice/math/calculus/quizzes/integration-method-selection/|/practice/math/calculus/challenges/integration-bee/","","/practice/math/calculus/quizzes/integration-method-selection/|/practice/math/calculus/challenges/integration-bee/","","","pages"
"/corrections/","ia-76e58ad91f109305","route:/corrections/","policy","","site-shell","","","","corrections","Better Grades | Better Grades","Found something off? Tell us plainly.","Found something off? Tell us plainly.","Better Grades publishing and product standards.","https://bettergrades.net/corrections/","true","true","Organization|ImageObject|WebSite","","/","6","285","106","0","1","","510","43","0","0","0","0","0","494","1","1","","","","corrections|Found something off? Tell us plainly.|corrections","","","","","","pages"
"/editorial-policy/","ia-b8c3e594fd0ee95d","route:/editorial-policy/","policy","","site-shell","","","","editorial policy","Better Grades | Better Grades","Direct first. Complete second. Honest throughout.","Direct first. Complete second. Honest throughout.","Better Grades publishing and product standards.","https://bettergrades.net/editorial-policy/","true","true","Organization|ImageObject|WebSite","","/","7","274","95","0","1","","510","43","0","0","0","0","0","494","1","2","","","","editorial policy|Direct first. Complete second. Honest throughout.|editorial policy","","","","","","pages"
"/glossary/","ia-8e4d8f471153b121","route:/glossary/","glossary-hub","","math-glossary","","","","glossary","Better Grades glossaries | Better Grades","One language layer. Every subject.","One language layer. Every subject.","Browse subject-specific definitions, symbols, and notation conventions.","https://bettergrades.net/glossary/","true","true","Organization|ImageObject|WebSite","","/","8","241","61","0","1","","1","41","0","0","0","0","0","0","2","2","","","","glossary|One language layer. Every subject.|glossary","","","","","","pages"
"/glossary/math/","ia-e2e26e47411b0064","route:/glossary/math/","glossary-hub","","math-glossary","math","","","math","Mathematics glossary | Better Grades","Read the symbol. Understand the idea.","Read the symbol. Understand the idea.","Look up mathematics terms and symbols with visual notation and concise definitions.","https://bettergrades.net/glossary/math/","true","true","Organization|ImageObject|WebSite","Home","/glossary/","9","8131","7952","3","7","","1832","67","5","0","1286","1","0","494","1","1","","","","math|Read the symbol. Understand the idea.|math","","","","","","pages"
"/glossary/math/absolute-convergence/","ia-b9a52ffadad2adc7","route:/glossary/math/absolute-convergence/","glossary-term","","math-glossary","math","","","absolute convergence","Absolute Convergence: Meaning, Notation, and Example | Better Grades","Absolute Convergence: Meaning, Notation, and Example","Absolute Convergence: Meaning, Notation, and Example","Learn the definition, notation, interpretation, and use of absolute convergence in calculus.","https://bettergrades.net/glossary/math/absolute-convergence/","true","true","Organization|ImageObject|WebSite","Home","/glossary/math/","10","354","171","17","15","","4","51","1","4","0","0","0","0","2","2","","","","absolute convergence|Absolute Convergence: Meaning, Notation, and Example|absolute convergence","/subjects/math/calculus/sequences-and-series/|/subjects/math/calculus/practice-exams/calculus-2-final/|/subjects/math/calculus/visuals/convergence-tests-flowchart/|/glossary/math/chain-rule/","","","/subjects/math/calculus/practice-exams/calculus-2-final/|/subjects/math/calculus/visuals/convergence-tests-flowchart/","","glossary"
