route,stable_audit_id,page_role,reason
"/","ia-8a5edab282632443","home",""
"/about/","ia-4f10f17be161adfe","policy",""
"/accessibility/","ia-8937748044a4b4fb","policy",""
"/answers/","ia-eb86820e15091430","directory",""
"/answers/calculus/integral-of-sec-cubed/","ia-b0521894b4623125","answer",""
"/corrections/","ia-76e58ad91f109305","policy",""
"/editorial-policy/","ia-b8c3e594fd0ee95d","policy",""
"/glossary/","ia-8e4d8f471153b121","glossary-hub",""
"/glossary/math/","ia-e2e26e47411b0064","glossary-hub",""
"/glossary/math/absolute-convergence/","ia-b9a52ffadad2adc7","glossary-term",""
"/glossary/math/antiderivative/","ia-20227e7c0138e16d","glossary-term",""
"/glossary/math/chain-rule/","ia-102a1f2e2569bf7a","glossary-term",""
"/glossary/math/continuity/","ia-908b816527f567d8","glossary-term",""
"/glossary/math/conventions/","ia-26bf91fee835c136","glossary-term",""
"/glossary/math/critical-number/","ia-53fc0495d68505b1","glossary-term",""
"/glossary/math/definite-integral/","ia-efff6cb91c20dbce","glossary-term",""
"/glossary/math/derivative/","ia-a705f6caa45a2581","glossary-term",""
"/glossary/math/fundamental-theorem-calculus/","ia-5f97a4fb2000cef4","glossary-term",""
"/glossary/math/geometric-series/","ia-1994408fdd6afdf9","glossary-term",""
"/glossary/math/implicit-differentiation/","ia-dc6fa06d67c063f4","glossary-term",""
"/glossary/math/improper-integral/","ia-f9587b8749f37c90","glossary-term",""
"/glossary/math/integration-by-parts/","ia-c293f2411dd6fee3","glossary-term",""
"/glossary/math/limit/","ia-3b8dd1b8bf7257dd","glossary-term",""
"/glossary/math/local-maximum/","ia-3109d623693f43dd","glossary-term",""
"/glossary/math/local-minimum/","ia-089c581cfae2dc8c","glossary-term",""
"/glossary/math/one-sided-limit/","ia-635d57a16cb43c24","glossary-term",""
"/glossary/math/optimization/","ia-c8fb16a741ec4344","glossary-term",""
"/glossary/math/power-series/","ia-223dbd6eb1eb4d01","glossary-term",""
"/glossary/math/radius-of-convergence/","ia-39005dd98b1d9798","glossary-term",""
"/glossary/math/related-rates/","ia-a4a285900617eb5f","glossary-term",""
"/glossary/math/sequence/","ia-6bc875ddc71e00bf","glossary-term",""
"/glossary/math/series/","ia-fe0fbce9ab790815","glossary-term",""
"/glossary/math/taylor-series/","ia-58a7953b296cd921","glossary-term",""
"/glossary/math/u-substitution/","ia-562b7c489b5e2461","glossary-term",""
"/how-we-verify/","ia-15edee2652bb4565","policy",""
"/learn/calculus/integration-by-parts/","ia-d434bf3c2d522da8","method-guide",""
"/practice/","ia-ed15996014f89725","directory",""
"/practice/math/","ia-0956fb7bd98d8209","assessment",""
"/practice/math/calculus/","ia-a840adb5c6eb9d7b","assessment",""
"/practice/math/calculus/challenges/integration-bee/","ia-59521b89fcc5fe7c","assessment",""
"/practice/math/calculus/diagnostics/calculus-readiness/","ia-d1809adf783e164b","assessment",""
"/practice/math/calculus/exams/calculus-foundations/","ia-55bf6e1027a5ccb8","practice-exam",""
"/practice/math/calculus/quizzes/integration-method-selection/","ia-8de3444f05f111bd","assessment",""
"/privacy/","ia-0d1b773b2e060d79","policy",""
"/resources/","ia-a80626761b261d9c","resource-library",""
"/search/","ia-d0beddcba48b2cdd","search",""
"/source-policy/","ia-11825a6ee1c52e88","policy",""
"/subjects/","ia-4a6b097218ef56d7","subject-hub",""
"/subjects/math/","ia-f8bf0d97c0c93f84","subject-hub",""
"/subjects/math/algebra/","ia-c54bac39bbd8e1d2","course-hub",""
"/subjects/math/algebra/expressions-equations/","ia-9e06f8b0209e70ba","quick-answer",""
"/subjects/math/algebra/expressions-equations/combining-like-terms/","ia-b560fb42291dcec3","method-guide",""
"/subjects/math/algebra/expressions-equations/distributive-property/","ia-a378659f448d498d","method-guide",""
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","ia-fcd40b076e53b7ba","method-guide",""
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","ia-92857e2dd3cbdc1b","method-guide",""
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","ia-4df6a5eb19d39519","decision-guide",""
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","ia-3b1de81f0f97ae23","decision-guide",""
"/subjects/math/algebra/linear-relationships/","ia-7a86ea07a2be39ba","quick-answer",""
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","ia-a583413d727bb35d","decision-guide",""
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","ia-efed912c74498ba5","decision-guide",""
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","ia-5a838401a2b88a6d","quick-answer",""
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","ia-c25ff9e38f1d951c","decision-guide",""
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","ia-6692ea338d42df5e","quick-answer",""
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","ia-373758a47fd3d431","quick-answer",""
"/subjects/math/algebra/polynomials-factoring/","ia-8452b3aee1512284","quick-answer",""
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","ia-240006bbebc5061a","decision-guide",""
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","ia-b621f35c5c6fe974","method-guide",""
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","ia-5e023bde5c7e5e65","decision-guide",""
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","ia-bf1d98eb7fd01ed8","decision-guide",""
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","ia-4d2bbcc668355b83","decision-guide",""
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","ia-5a9e8b25d7b6c999","decision-guide",""
"/subjects/math/algebra/radicals-exponents-functions/","ia-4575355bdfafc89f","quick-answer",""
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","ia-f952ca4930ba84d1","decision-guide",""
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","ia-4059773fddd6551c","quick-answer",""
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","ia-2cc618d2e4ebde21","decision-guide",""
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","ia-1905644e7ada5fc4","method-guide",""
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","ia-8a8996a5513990dc","method-guide",""
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","ia-f871a9f77e12de2d","method-guide",""
"/subjects/math/algebra/rational-expressions/","ia-a8b249e18db715dc","quick-answer",""
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","ia-fb0992f609bf4dfa","method-guide",""
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","ia-bb5cdb9afe5aa422","quick-answer",""
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","ia-7126c6a366db120e","method-guide",""
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","ia-54031d4898b681f7","method-guide",""
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","ia-8d67b5570a723c4c","method-guide",""
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","ia-62d7ffeefcb08913","method-guide",""
"/subjects/math/algebra/systems-inequalities/","ia-fc4fa9af06e31603","quick-answer",""
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","ia-de9a3c042cb3af44","decision-guide",""
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","ia-ef62bab691be9b9c","method-guide",""
"/subjects/math/algebra/systems-inequalities/elimination-systems/","ia-cc7c686486b12d26","decision-guide",""
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","ia-c9c4f1a8f5e4aaf4","decision-guide",""
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","ia-c6e2bfa01dea02eb","decision-guide",""
"/subjects/math/algebra/systems-inequalities/substitution-systems/","ia-a827d7cc7cfb1f21","decision-guide",""
"/subjects/math/calculus/","ia-4828eabd2ca9f824","course-hub",""
"/subjects/math/calculus/derivative-applications/","ia-f2e72a928593c3cd","unit-hub",""
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","ia-d46eb0d4adea6c93","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/advanced-convexity/","ia-bc3189ccbd418f95","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","ia-b1db78d38f4b1025","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/advanced-notes/","ia-4c37fe16b1e6e414","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","ia-7daf2efd50d980b8","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","ia-701798b65d894bc1","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","ia-908edf200d4d7d1e","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/approximation-review/","ia-8f9c6aa286804498","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","ia-fbbe6e701001b15b","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/closed-interval-method/","ia-75cdf5522594df45","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/common-errors/","ia-d83c79f45955b6b5","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/concavity/","ia-a597e5b52ea68c6b","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/cumulative-practice/","ia-dcafc97d21d08948","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/curve-sketching-from-derivatives/","ia-b81635b6cf2c40f1","method-guide",""
"/subjects/math/calculus/derivative-applications/curve-sketching/","ia-1145a66140b1c185","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/derivative-graphs/","ia-085600c0d3836917","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/differentials/","ia-ad4dd43e5ab82858","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/error-estimation/","ia-075ce04f5f82356c","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","ia-fd1da78c38ac813a","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/first-derivative-test/","ia-dddf79453bd42994","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","ia-4868a7967b439a0f","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","ia-7f7c7e49f9a0b9a3","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","ia-8da7069de53845e2","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/interpretation-concept-quiz/","ia-9cc94c4c5657cfd8","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/interpretation-review/","ia-fc2936f5740bb905","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","ia-39f9e04db7c148f5","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/interpreting-higher-derivatives/","ia-44426f1c8f7db800","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/lhopital-concept-quiz/","ia-0caa1397476b9a98","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/lhopital-infinity-over-infinity/","ia-0d4173d1f5bd4efc","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/lhopital-is-not-cancellation/","ia-76951b0adb4cbbaa","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/lhopital-review/","ia-6397ee3a88ae82b2","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/lhopital-rule/","ia-9d7f9598d8de98eb","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/lhopital-zero-over-zero/","ia-c3a905922810c655","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/linear-approximation/","ia-de0be16ab38c3d5e","method-guide",""
"/subjects/math/calculus/derivative-applications/linearization-practice/","ia-ddd800b010780be3","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/local-linearity/","ia-bf563e1692fd15be","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/manufacturing-tolerance/","ia-3d4d567ee2f1a227","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/marginal-analysis/","ia-f7a19f7aebcbeaba","textbook-lesson",""
"/subjects/math/calculus/derivative-applications/mean-value-theorem/","ia-8aa2cf899bbf69ef","textbook-lesson",""
