route,page_role,query_type,query,result_count,exact_rank,first_result,first_result_role
"/answers/calculus/integral-of-sec-cubed/","answer","exact_title","What is the integral of sec³x?","109","1","/answers/calculus/integral-of-sec-cubed/","answer"
"/answers/calculus/integral-of-sec-cubed/","answer","short_title","What is the integral of sec³x?","109","1","/answers/calculus/integral-of-sec-cubed/","answer"
"/answers/calculus/integral-of-sec-cubed/","answer","slug_without_hyphens","integral of sec cubed","115","1","/answers/calculus/integral-of-sec-cubed/","answer"
"/answers/calculus/integral-of-sec-cubed/","answer","primary_concept","integral","111","12","/subjects/math/calculus/integrals/","unit-hub"
"/answers/calculus/integral-of-sec-cubed/","answer","primary_skill","answer integral","145","56","/subjects/math/calculus/worksheets/integration-by-parts/","worksheet"
"/glossary/math/absolute-convergence/","glossary-term","exact_title","Absolute convergence","116","1","/glossary/math/absolute-convergence/","glossary-term"
"/glossary/math/absolute-convergence/","glossary-term","short_title","Absolute Convergence: Meaning, Notation, and Example","218","12","/subjects/math/calculus/worked-problems/absolute-versus-conditional-convergence/","worked-problem"
"/glossary/math/absolute-convergence/","glossary-term","slug_without_hyphens","absolute convergence","116","1","/glossary/math/absolute-convergence/","glossary-term"
"/glossary/math/absolute-convergence/","glossary-term","primary_concept","absolute convergence","116","1","/glossary/math/absolute-convergence/","glossary-term"
"/glossary/math/absolute-convergence/","glossary-term","primary_skill","glossary term absolute convergence","141","3","/subjects/math/calculus/sequences-and-series/absolute-and-conditional-convergence/","textbook-lesson"
"/glossary/math/antiderivative/","glossary-term","exact_title","Antiderivative","109","1","/glossary/math/antiderivative/","glossary-term"
"/glossary/math/antiderivative/","glossary-term","short_title","Antiderivative: Meaning, Notation, and Example","214","67","/subjects/math/calculus/worked-problems/integration-by-parts-log-x/","worked-problem"
"/glossary/math/antiderivative/","glossary-term","slug_without_hyphens","antiderivative","109","1","/glossary/math/antiderivative/","glossary-term"
"/glossary/math/antiderivative/","glossary-term","primary_concept","derivative","202","54","/glossary/math/derivative/","glossary-term"
"/glossary/math/antiderivative/","glossary-term","primary_skill","glossary term derivative","216","63","/subjects/math/calculus/derivatives/foundations-concept-quiz/","textbook-lesson"
"/glossary/math/chain-rule/","glossary-term","exact_title","Chain rule","52","1","/glossary/math/chain-rule/","glossary-term"
"/glossary/math/chain-rule/","glossary-term","short_title","Chain Rule: Meaning, Notation, and Example","165","19","/subjects/math/calculus/worked-problems/basic-chain-rule/","worked-problem"
"/glossary/math/chain-rule/","glossary-term","slug_without_hyphens","chain rule","52","1","/glossary/math/chain-rule/","glossary-term"
"/glossary/math/chain-rule/","glossary-term","primary_concept","chain-rule","52","1","/glossary/math/chain-rule/","glossary-term"
"/glossary/math/chain-rule/","glossary-term","primary_skill","glossary term chain-rule","71","25","/subjects/math/calculus/worksheets/chain-rule/","worksheet"
"/glossary/math/continuity/","glossary-term","exact_title","Continuity","90","1","/glossary/math/continuity/","glossary-term"
"/glossary/math/continuity/","glossary-term","short_title","Continuity: Meaning, Notation, and Example","203","43","/subjects/math/calculus/limits-continuity/unit/limits/meaning-practice/","textbook-lesson"
"/glossary/math/continuity/","glossary-term","slug_without_hyphens","continuity","90","1","/glossary/math/continuity/","glossary-term"
"/glossary/math/continuity/","glossary-term","primary_concept","continuity","90","1","/glossary/math/continuity/","glossary-term"
"/glossary/math/continuity/","glossary-term","primary_skill","glossary term continuity","114","25","/subjects/math/calculus/limits-continuity/unit/continuity/intermediate-value-theorem/","textbook-lesson"
"/glossary/math/conventions/","glossary-term","exact_title","Mathematics variable and notation conventions","235","","/glossary/math/#derivative-notations",""
"/glossary/math/conventions/","glossary-term","short_title","Letters should carry meaning, not decorative noise.","107","","/subjects/math/calculus/derivatives/notation-and-units/","textbook-lesson"
"/glossary/math/conventions/","glossary-term","slug_without_hyphens","conventions","0","","",""
"/glossary/math/conventions/","glossary-term","primary_concept","conventions","0","","",""
"/glossary/math/conventions/","glossary-term","primary_skill","glossary term conventions","27","","/subjects/math/calculus/sequences-and-series/nth-term-divergence-test/","textbook-lesson"
"/glossary/math/critical-number/","glossary-term","exact_title","Critical number","14","1","/glossary/math/critical-number/","glossary-term"
"/glossary/math/critical-number/","glossary-term","short_title","Critical Number: Meaning, Notation, and Example","131","2","/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","textbook-lesson"
"/glossary/math/critical-number/","glossary-term","slug_without_hyphens","critical number","14","1","/glossary/math/critical-number/","glossary-term"
"/glossary/math/critical-number/","glossary-term","primary_concept","critical number","14","1","/glossary/math/critical-number/","glossary-term"
"/glossary/math/critical-number/","glossary-term","primary_skill","glossary term critical number","45","2","/subjects/math/calculus/derivative-applications/extrema-and-critical-numbers/","textbook-lesson"
"/glossary/math/definite-integral/","glossary-term","exact_title","Definite integral","110","1","/glossary/math/definite-integral/","glossary-term"
"/glossary/math/definite-integral/","glossary-term","short_title","Definite Integral: Meaning, Notation, and Example","215","15","/subjects/math/calculus/integrals/properties-of-definite-integrals/","textbook-lesson"
"/glossary/math/definite-integral/","glossary-term","slug_without_hyphens","definite integral","110","1","/glossary/math/definite-integral/","glossary-term"
"/glossary/math/definite-integral/","glossary-term","primary_concept","integral","111","24","/subjects/math/calculus/integrals/","unit-hub"
"/glossary/math/definite-integral/","glossary-term","primary_skill","glossary term integral","139","51","/subjects/math/calculus/integrals/","unit-hub"
"/glossary/math/derivative/","glossary-term","exact_title","Derivative","202","1","/glossary/math/derivative/","glossary-term"
"/glossary/math/derivative/","glossary-term","short_title","Derivative: Meaning, Notation, and Example","286","67","/subjects/math/calculus/derivatives/notation-and-units/","textbook-lesson"
"/glossary/math/derivative/","glossary-term","slug_without_hyphens","derivative","202","1","/glossary/math/derivative/","glossary-term"
"/glossary/math/derivative/","glossary-term","primary_concept","derivative","202","1","/glossary/math/derivative/","glossary-term"
