route,page_role,sitemap_segment,role_segment_consistent
"/","home","pages","true"
"/about/","policy","pages","true"
"/accessibility/","policy","pages","true"
"/answers/","directory","pages","true"
"/answers/calculus/integral-of-sec-cubed/","answer","pages","true"
"/corrections/","policy","pages","true"
"/editorial-policy/","policy","pages","true"
"/glossary/","glossary-hub","pages","true"
"/glossary/math/","glossary-hub","pages","true"
"/glossary/math/absolute-convergence/","glossary-term","glossary","true"
"/glossary/math/antiderivative/","glossary-term","glossary","true"
"/glossary/math/chain-rule/","glossary-term","glossary","true"
"/glossary/math/continuity/","glossary-term","glossary","true"
"/glossary/math/conventions/","glossary-term","glossary","true"
"/glossary/math/critical-number/","glossary-term","glossary","true"
"/glossary/math/definite-integral/","glossary-term","glossary","true"
"/glossary/math/derivative/","glossary-term","glossary","true"
"/glossary/math/fundamental-theorem-calculus/","glossary-term","glossary","true"
"/glossary/math/geometric-series/","glossary-term","glossary","true"
"/glossary/math/implicit-differentiation/","glossary-term","glossary","true"
"/glossary/math/improper-integral/","glossary-term","glossary","true"
"/glossary/math/integration-by-parts/","glossary-term","glossary","true"
"/glossary/math/limit/","glossary-term","glossary","true"
"/glossary/math/local-maximum/","glossary-term","glossary","true"
"/glossary/math/local-minimum/","glossary-term","glossary","true"
"/glossary/math/one-sided-limit/","glossary-term","glossary","true"
"/glossary/math/optimization/","glossary-term","glossary","true"
"/glossary/math/power-series/","glossary-term","glossary","true"
"/glossary/math/radius-of-convergence/","glossary-term","glossary","true"
"/glossary/math/related-rates/","glossary-term","glossary","true"
"/glossary/math/sequence/","glossary-term","glossary","true"
"/glossary/math/series/","glossary-term","glossary","true"
"/glossary/math/taylor-series/","glossary-term","glossary","true"
"/glossary/math/u-substitution/","glossary-term","glossary","true"
"/how-we-verify/","policy","pages","true"
"/learn/calculus/integration-by-parts/","method-guide","articles","true"
"/practice/","directory","pages","true"
"/practice/math/","directory","pages","true"
"/practice/math/calculus/","directory","pages","true"
"/practice/math/calculus/challenges/integration-bee/","assessment","pages","true"
"/practice/math/calculus/diagnostics/calculus-readiness/","assessment","pages","true"
"/practice/math/calculus/exams/calculus-foundations/","practice-exam","practice-exams","true"
"/practice/math/calculus/quizzes/integration-method-selection/","assessment","pages","true"
"/privacy/","policy","pages","true"
"/resources/","resource-library","pages","true"
"/search/","search","pages","true"
"/source-policy/","policy","pages","true"
"/subjects/","subject-hub","pages","true"
"/subjects/math/","subject-hub","pages","true"
"/subjects/math/algebra/","course-hub","pages","true"
"/subjects/math/algebra/expressions-equations/","quick-answer","articles","true"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","method-guide","articles","true"
"/subjects/math/algebra/expressions-equations/distributive-property/","concept-explainer","articles","true"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","articles","true"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","concept-explainer","articles","true"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","method-guide","articles","true"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","decision-guide","articles","true"
"/subjects/math/algebra/linear-relationships/","quick-answer","articles","true"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","method-guide","articles","true"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","method-guide","articles","true"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","quick-answer","articles","true"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","concept-explainer","articles","true"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","decision-guide","articles","true"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","concept-explainer","articles","true"
"/subjects/math/algebra/polynomials-factoring/","quick-answer","articles","true"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","method-guide","articles","true"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","concept-explainer","articles","true"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","method-guide","articles","true"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","method-guide","articles","true"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","method-guide","articles","true"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","decision-guide","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/","quick-answer","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","concept-explainer","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","concept-explainer","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","decision-guide","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","concept-explainer","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","method-guide","articles","true"
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","method-guide","articles","true"
"/subjects/math/algebra/rational-expressions/","quick-answer","articles","true"
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","method-guide","articles","true"
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","decision-guide","articles","true"
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","concept-explainer","articles","true"
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","method-guide","articles","true"
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","method-guide","articles","true"
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","method-guide","articles","true"
"/subjects/math/algebra/systems-inequalities/","quick-answer","articles","true"
