route,page_role,types,has_breadcrumb,classification
"/","home","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/about/","policy","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/accessibility/","policy","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/answers/","directory","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/answers/calculus/integral-of-sec-cubed/","answer","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/corrections/","policy","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/editorial-policy/","policy","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/","glossary-hub","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/","glossary-hub","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/absolute-convergence/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/antiderivative/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/chain-rule/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/continuity/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/conventions/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/critical-number/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
"/glossary/math/definite-integral/","glossary-term","Organization|ImageObject|WebSite","false","PRESENT_NOT_FULLY_SEMANTICALLY_VALIDATED"
