route,title,length,unique,h1,title_h1_consistent,page_role
"/","Better Grades — Free answers, full explanations","47","true","Search the problem. Learn the method.","false","home"
"/about/","Better Grades | Better Grades","29","false","Built to teach, not tease.","false","policy"
"/accessibility/","Better Grades | Better Grades","29","false","Math help should not add obstacles.","false","policy"
"/answers/","Search the answer bank | Better Grades","38","true","Search the calculus library.","false","directory"
"/answers/calculus/integral-of-sec-cubed/","What is the integral of sec³x? | Better Grades","46","true","What is the integral of sec³x?","true","answer"
"/corrections/","Better Grades | Better Grades","29","false","Found something off? Tell us plainly.","false","policy"
"/editorial-policy/","Better Grades | Better Grades","29","false","Direct first. Complete second. Honest throughout.","false","policy"
"/glossary/","Better Grades glossaries | Better Grades","40","true","One language layer. Every subject.","false","glossary-hub"
"/glossary/math/","Mathematics glossary | Better Grades","36","true","Read the symbol. Understand the idea.","false","glossary-hub"
"/glossary/math/absolute-convergence/","Absolute Convergence: Meaning, Notation, and Example | Better Grades","68","true","Absolute Convergence: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/antiderivative/","Antiderivative: Meaning, Notation, and Example | Better Grades","62","true","Antiderivative: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/chain-rule/","Chain Rule: Meaning, Notation, and Example | Better Grades","58","true","Chain Rule: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/continuity/","Continuity: Meaning, Notation, and Example | Better Grades","58","true","Continuity: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/conventions/","Mathematics variable and notation conventions | Better Grades","61","true","Letters should carry meaning, not decorative noise.","false","glossary-term"
"/glossary/math/critical-number/","Critical Number: Meaning, Notation, and Example | Better Grades","63","true","Critical Number: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/definite-integral/","Definite Integral: Meaning, Notation, and Example | Better Grades","65","true","Definite Integral: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/derivative/","Derivative: Meaning, Notation, and Example | Better Grades","58","true","Derivative: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/fundamental-theorem-calculus/","Fundamental Theorem Calculus: Meaning, Notation, and Example | Better Grades","76","true","Fundamental Theorem Calculus: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/geometric-series/","Geometric Series: Meaning, Notation, and Example | Better Grades","64","true","Geometric Series: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/implicit-differentiation/","Implicit Differentiation: Meaning, Notation, and Example | Better Grades","72","true","Implicit Differentiation: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/improper-integral/","Improper Integral: Meaning, Notation, and Example | Better Grades","65","true","Improper Integral: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/integration-by-parts/","Integration By Parts: Meaning, Notation, and Example | Better Grades","68","true","Integration By Parts: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/limit/","Limit: Meaning, Notation, and Example | Better Grades","53","true","Limit: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/local-maximum/","Local Maximum: Meaning, Notation, and Example | Better Grades","61","true","Local Maximum: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/local-minimum/","Local Minimum: Meaning, Notation, and Example | Better Grades","61","true","Local Minimum: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/one-sided-limit/","One Sided Limit: Meaning, Notation, and Example | Better Grades","63","true","One Sided Limit: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/optimization/","Optimization: Meaning, Notation, and Example | Better Grades","60","true","Optimization: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/power-series/","Power Series: Meaning, Notation, and Example | Better Grades","60","true","Power Series: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/radius-of-convergence/","Radius Of Convergence: Meaning, Notation, and Example | Better Grades","69","true","Radius Of Convergence: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/related-rates/","Related Rates: Meaning, Notation, and Example | Better Grades","61","true","Related Rates: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/sequence/","Sequence: Meaning, Notation, and Example | Better Grades","56","true","Sequence: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/series/","Series: Meaning, Notation, and Example | Better Grades","54","true","Series: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/taylor-series/","Taylor Series: Meaning, Notation, and Example | Better Grades","61","true","Taylor Series: Meaning, Notation, and Example","true","glossary-term"
"/glossary/math/u-substitution/","U Substitution: Meaning, Notation, and Example | Better Grades","62","true","U Substitution: Meaning, Notation, and Example","true","glossary-term"
"/how-we-verify/","Better Grades | Better Grades","29","false","Answers should survive being checked.","false","policy"
"/learn/calculus/integration-by-parts/","Integration by parts: recognition, setup, and examples | Better Grades","70","true","Integration by parts, without the guessing game.","false","method-guide"
"/practice/","Free quizzes and practice exams | Better Grades","47","true","Choose a subject before choosing a workout.","false","directory"
"/practice/math/","Mathematics practice | Better Grades","36","true","Choose the mathematics course you are studying.","false","assessment"
"/practice/math/calculus/","Calculus practice | Better Grades","33","true","Pick the kind of calculus practice you need.","false","assessment"
"/practice/math/calculus/challenges/integration-bee/","Integration Bee | Better Grades","31","true","Twenty integrals. One very honest clock.","false","assessment"
"/practice/math/calculus/diagnostics/calculus-readiness/","Calculus readiness diagnostic | Better Grades","45","true","Calculus readiness diagnostic","true","assessment"
"/practice/math/calculus/exams/calculus-foundations/","Calculus foundations practice exam | Better Grades","50","true","Calculus foundations practice exam","true","practice-exam"
"/practice/math/calculus/quizzes/integration-method-selection/","Integration method selection | Better Grades","44","true","Integration method selection","true","assessment"
"/privacy/","Better Grades | Better Grades","29","false","Learn without becoming a data product.","false","policy"
"/resources/","Free Math Resources | Worksheets, Practice Exams, Guides, and More | Better Grades","82","true","Everything printable, visual, and worked through.","false","resource-library"
"/search/","Search Better Grades | Better Grades","36","true","What are you stuck on?","false","search"
"/source-policy/","Better Grades | Better Grades","29","false","Original work, traceable sources.","false","policy"
"/subjects/","Browse subjects | Better Grades","31","true","Free help, organized like a course.","false","subject-hub"
"/subjects/math/","Mathematics | Better Grades","27","true","Choose your course.","false","subject-hub"
"/subjects/math/algebra/","Algebra resources | Better Grades","33","true","Algebra","true","course-hub"
"/subjects/math/algebra/expressions-equations/","Expressions & Equations Algebra resources | Better Grades","57","true","Expressions & Equations","true","quick-answer"
"/subjects/math/algebra/expressions-equations/combining-like-terms/","Combining like terms without combining things that only look alike | Better Grades","82","true","Combining like terms without combining things that only look alike","true","method-guide"
"/subjects/math/algebra/expressions-equations/distributive-property/","The distributive property: why the outside factor reaches every term | Better Grades","84","true","The distributive property: why the outside factor reaches every term","true","method-guide"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","Evaluating algebraic expressions by substitution | Better Grades","64","true","Evaluating algebraic expressions by substitution","true","method-guide"
"/subjects/math/algebra/expressions-equations/order-of-operations-with-variables/","Order of operations with variables: what actually comes first? | Better Grades","78","true","Order of operations with variables: what actually comes first?","true","method-guide"
"/subjects/math/algebra/expressions-equations/solving-linear-equations/","Solving linear equations: keep the balance, not a bag of tricks | Better Grades","79","true","Solving linear equations: keep the balance, not a bag of tricks","true","decision-guide"
"/subjects/math/algebra/expressions-equations/variables-on-both-sides/","Variables on both sides: which side should you move them to? | Better Grades","76","true","Variables on both sides: which side should you move them to?","true","decision-guide"
"/subjects/math/algebra/linear-relationships/","Linear Relationships Algebra resources | Better Grades","54","true","Linear Relationships","true","quick-answer"
"/subjects/math/algebra/linear-relationships/equation-from-two-points/","How to write a line equation from two points | Better Grades","60","true","How to write a line equation from two points","true","decision-guide"
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","Graphing a linear equation from standard form | Better Grades","61","true","Graphing a linear equation from standard form","true","decision-guide"
"/subjects/math/algebra/linear-relationships/interpreting-linear-models/","What do slope and intercept mean in a linear model? | Better Grades","67","true","What do slope and intercept mean in a linear model?","true","quick-answer"
"/subjects/math/algebra/linear-relationships/parallel-perpendicular-lines/","Parallel and perpendicular slopes, with the vertical-line exception | Better Grades","83","true","Parallel and perpendicular slopes, with the vertical-line exception","true","decision-guide"
"/subjects/math/algebra/linear-relationships/point-slope-vs-slope-intercept/","Point-slope or slope-intercept form: which should you use? | Better Grades","74","true","Point-slope or slope-intercept form: which should you use?","true","quick-answer"
"/subjects/math/algebra/linear-relationships/slope-as-rate-of-change/","Slope is a rate of change, not just rise over run | Better Grades","65","true","Slope is a rate of change, not just rise over run","true","quick-answer"
"/subjects/math/algebra/polynomials-factoring/","Polynomials & Factoring Algebra resources | Better Grades","57","true","Polynomials & Factoring","true","quick-answer"
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","Completing the square without guessing | Better Grades","54","true","Completing the square without guessing","true","decision-guide"
"/subjects/math/algebra/polynomials-factoring/exponent-rules/","Exponent rules that come from counting factors | Better Grades","62","true","Exponent rules that come from counting factors","true","method-guide"
"/subjects/math/algebra/polynomials-factoring/factoring-trinomials/","Factoring trinomials: use product and sum, not random guessing | Better Grades","78","true","Factoring trinomials: use product and sum, not random guessing","true","decision-guide"
"/subjects/math/algebra/polynomials-factoring/greatest-common-factor/","Factor the greatest common factor before anything fancy | Better Grades","71","true","Factor the greatest common factor before anything fancy","true","decision-guide"
"/subjects/math/algebra/polynomials-factoring/multiply-polynomials/","Multiplying polynomials without losing a term | Better Grades","61","true","Multiplying polynomials without losing a term","true","decision-guide"
"/subjects/math/algebra/polynomials-factoring/special-factor-patterns/","Difference of squares or perfect-square trinomial? | Better Grades","66","true","Difference of squares or perfect-square trinomial?","true","decision-guide"
"/subjects/math/algebra/radicals-exponents-functions/","Radicals, Exponents & Functions Algebra resources | Better Grades","65","true","Radicals, Exponents & Functions","true","quick-answer"
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","Exponential growth and decay: reading the model | Better Grades","63","true","Exponential growth and decay: reading the model","true","decision-guide"
"/subjects/math/algebra/radicals-exponents-functions/function-notation/","Function notation: inputs, outputs, and what f(x) does not mean | Better Grades","79","true","Function notation: inputs, outputs, and what f(x) does not mean","true","quick-answer"
"/subjects/math/algebra/radicals-exponents-functions/inverse-functions-vs-reciprocals/","Inverse function or reciprocal? The −1 notation has two different jobs | Better Grades","86","true","Inverse function or reciprocal? The −1 notation has two different jobs","true","decision-guide"
"/subjects/math/algebra/radicals-exponents-functions/rational-exponents/","Rational exponents: the bridge between powers and roots | Better Grades","71","true","Rational exponents: the bridge between powers and roots","true","method-guide"
"/subjects/math/algebra/radicals-exponents-functions/simplifying-radicals/","Simplifying radicals by pulling out perfect powers | Better Grades","66","true","Simplifying radicals by pulling out perfect powers","true","method-guide"
"/subjects/math/algebra/radicals-exponents-functions/solving-radical-equations/","Solving radical equations and checking for extraneous roots | Better Grades","75","true","Solving radical equations and checking for extraneous roots","true","method-guide"
"/subjects/math/algebra/rational-expressions/","Rational Expressions Algebra resources | Better Grades","54","true","Rational Expressions","true","quick-answer"
"/subjects/math/algebra/rational-expressions/add-subtract-rational-expressions/","Adding and subtracting rational expressions | Better Grades","59","true","Adding and subtracting rational expressions","true","method-guide"
"/subjects/math/algebra/rational-expressions/direct-inverse-variation/","Direct or inverse variation: which model matches the relationship? | Better Grades","82","true","Direct or inverse variation: which model matches the relationship?","true","quick-answer"
"/subjects/math/algebra/rational-expressions/rational-domain-restrictions/","Domain restrictions in rational expressions | Better Grades","59","true","Domain restrictions in rational expressions","true","method-guide"
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","Simplifying complex rational expressions | Better Grades","56","true","Simplifying complex rational expressions","true","method-guide"
"/subjects/math/algebra/rational-expressions/simplifying-rational-expressions/","Simplifying rational expressions by factors, not by terms | Better Grades","73","true","Simplifying rational expressions by factors, not by terms","true","method-guide"
"/subjects/math/algebra/rational-expressions/solving-rational-equations/","Solving rational equations without accepting forbidden answers | Better Grades","78","true","Solving rational equations without accepting forbidden answers","true","method-guide"
"/subjects/math/algebra/systems-inequalities/","Systems & Inequalities Algebra resources | Better Grades","56","true","Systems & Inequalities","true","quick-answer"
"/subjects/math/algebra/systems-inequalities/choosing-system-method/","Graphing, substitution, or elimination: which system method fits? | Better Grades","81","true","Graphing, substitution, or elimination: which system method fits?","true","decision-guide"
"/subjects/math/algebra/systems-inequalities/compound-inequalities/","Compound inequalities: and, or, and the sign flip | Better Grades","65","true","Compound inequalities: and, or, and the sign flip","true","method-guide"
"/subjects/math/algebra/systems-inequalities/elimination-systems/","Solving systems by elimination | Better Grades","46","true","Solving systems by elimination","true","decision-guide"
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","Graphing linear inequalities in two variables | Better Grades","61","true","Graphing linear inequalities in two variables","true","decision-guide"
"/subjects/math/algebra/systems-inequalities/no-one-infinite-solutions/","One solution, no solution, or infinitely many? | Better Grades","62","true","One solution, no solution, or infinitely many?","true","decision-guide"
"/subjects/math/algebra/systems-inequalities/substitution-systems/","Solving systems by substitution | Better Grades","47","true","Solving systems by substitution","true","decision-guide"
"/subjects/math/calculus/","Calculus resources | Better Grades","34","true","Calculus","true","course-hub"
"/subjects/math/calculus/derivative-applications/","Unit 2B: Applications of Derivatives | Better Grades","52","true","Unit 2B: Applications of Derivatives","true","unit-hub"
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","Cauchy s Mean Value Theorem and L Hopital s Rule | Unit 2B | Better Grades","74","true","Cauchy s Mean Value Theorem and L Hopital s Rule","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","Convexity, Tangent Inequalities, and Global Minima | Unit 2B | Better Grades","76","true","Convexity, Tangent Inequalities, and Global Minima","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","Newton s Method: Convergence and Failure Modes | Unit 2B | Better Grades","72","true","Newton s Method: Convergence and Failure Modes","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/advanced-notes/","Advanced Notes: Analysis Behind the Applications | Unit 2B | Better Grades","74","true","Advanced Notes: Analysis Behind the Applications","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","Sensitivity, Elasticity, and Condition Numbers | Unit 2B | Better Grades","72","true","Sensitivity, Elasticity, and Condition Numbers","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","The Anatomy of an Optimization Problem | Unit 2B | Better Grades","64","true","The Anatomy of an Optimization Problem","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/approximation-concept-quiz/","Approximation Concept Quiz | Unit 2B | Better Grades","52","true","Approximation Concept Quiz","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/approximation-review/","Approximation and Newton s Method Review | Unit 2B | Better Grades","66","true","Approximation and Newton s Method Review","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/bridge-diagnostic/","Derivative Applications Bridge Diagnostic | Unit 2B | Better Grades","67","true","Derivative Applications Bridge Diagnostic","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","The Closed Interval Method | Unit 2B | Better Grades","52","true","The Closed Interval Method","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/common-errors/","Common Derivative Application and Optimization Errors | Unit 2B | Better Grades","79","true","Common Derivative Application and Optimization Errors","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/concavity/","Concavity and Inflection Points | Unit 2B | Better Grades","57","true","Concavity and Inflection Points","true","textbook-lesson"
"/subjects/math/calculus/derivative-applications/cumulative-practice/","Unit 2B Cumulative Applications Practice | Better Grades","56","true","Unit 2B Cumulative Applications Practice","true","textbook-lesson"
