route,page_role,incoming_link_count,click_depth_navigation
"/","home","1007","0"
"/about/","policy","509","1"
"/accessibility/","policy","509","1"
"/corrections/","policy","510","1"
"/editorial-policy/","policy","510","1"
"/glossary/","glossary-hub","0",""
"/glossary/math/conventions/","glossary-term","510","1"
"/glossary/math/improper-integral/","glossary-term","3","2"
"/glossary/math/sequence/","glossary-term","3","2"
"/glossary/math/u-substitution/","glossary-term","3","2"
"/how-we-verify/","policy","510","1"
"/practice/math/","assessment","2","2"
"/privacy/","policy","509","1"
"/search/","search","1534","1"
"/source-policy/","policy","510","1"
"/subjects/math/","subject-hub","992","1"
"/subjects/math/algebra/expressions-equations/evaluating-expressions-by-substitution/","method-guide","2",""
"/subjects/math/algebra/linear-relationships/graphing-linear-equations-from-standard-form/","decision-guide","2",""
"/subjects/math/algebra/polynomials-factoring/completing-the-square/","decision-guide","2",""
"/subjects/math/algebra/radicals-exponents-functions/exponential-growth-and-decay/","decision-guide","2",""
"/subjects/math/algebra/rational-expressions/simplifying-complex-rational-expressions/","method-guide","2",""
"/subjects/math/algebra/systems-inequalities/graphing-linear-inequalities/","decision-guide","2",""
"/subjects/math/calculus/derivative-applications/advanced-cauchy-mvt/","textbook-lesson","4","3"
"/subjects/math/calculus/derivative-applications/advanced-convexity/","textbook-lesson","4","3"
"/subjects/math/calculus/derivative-applications/advanced-newton-convergence/","textbook-lesson","4","3"
"/subjects/math/calculus/derivative-applications/advanced-sensitivity-elasticity/","textbook-lesson","4","3"
"/subjects/math/calculus/derivative-applications/anatomy-of-optimization/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/approximation-review/","textbook-lesson","7","3"
"/subjects/math/calculus/derivative-applications/closed-interval-method/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/common-errors/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/concavity/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/curve-sketching/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/derivative-graphs/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/differentials/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/error-estimation/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/first-derivative-test/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/graph-analysis-story/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/how-to-translate-word-problems/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/increasing-decreasing/","textbook-lesson","6","3"
"/subjects/math/calculus/derivative-applications/interpretation-review/","textbook-lesson","7","3"
"/subjects/math/calculus/derivative-applications/interpreting-derivatives/","textbook-lesson","6","3"
