url,conceptId,queryFamily,intent,modifiers,courseLevel,primaryUrl,isPrimaryOwner,primaryRole,secondaryUrls,currentCompetitors,currentTitle,currentH1,proposedH1,proposedSeoTitle,proposedDescription,canonicalUrl,canonicalPolicy,indexPolicy,action,redirectFrom,collisionScore,gscQueryOverlap,gscImpressions,googleSelectedCanonical,backlinkEquity,branch2Needed,branch3Needed,status,notes,verification,lessonId,pageRole
/answers/calculus/integral-of-sec-cubed/,concept.math.integral,∫ sec³(x) dx,quick-answer,integral of sec cubed,calculus,/answers/calculus/integral-of-sec-cubed/,true,answer,,,What is the integral of sec³x? | Better Grades,What is the integral of sec³x?,What is the integral of sec³x?,What is the integral of sec³x? | Better Grades,"See the full integration-by-parts derivation, verification, and common mistakes.",https://bettergrades.net/answers/calculus/integral-of-sec-cubed/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=2,,answer
/glossary/,concept.math.glossary,glossary,reference-definition,,sitewide,/glossary/,true,glossary-hub,,,Better Grades glossaries | Better Grades,Find the definition.,Find the definition.,Better Grades glossaries | Better Grades,"Browse subject-specific definitions, symbols, and notation conventions.",https://bettergrades.net/glossary/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=1,,glossary-hub
/glossary/math/,concept.math.math,math,reference-definition,,sitewide,/glossary/math/,true,glossary-hub,,,Mathematics glossary | Better Grades,Read the symbol. Understand the idea.,Read the symbol. Understand the idea.,Mathematics glossary | Better Grades,Look up mathematics terms and symbols with visual notation and concise definitions.,https://bettergrades.net/glossary/math/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=974,,glossary-hub
/glossary/math/absolute-convergence/,concept.math.absolute-convergence,absolutely convergent,reference-definition,absolute convergence,sitewide,/glossary/math/absolute-convergence/,true,glossary-term,,,"Absolute Convergence: Meaning, Notation, and Example | Better Grades","Absolute Convergence: Meaning, Notation, and Example","Absolute Convergence: Meaning, Notation, and Example","Absolute Convergence: Meaning, Notation, and Example | Better Grades","Learn the definition, notation, interpretation, and use of absolute convergence in calculus.",https://bettergrades.net/glossary/math/absolute-convergence/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=2,,glossary-term
/glossary/math/antiderivative/,concept.math.derivative,primitive function,reference-definition,antiderivative,sitewide,/glossary/math/antiderivative/,true,glossary-term,,,"Antiderivative: Meaning, Notation, and Example | Better Grades","Antiderivative: Meaning, Notation, and Example","Antiderivative: Meaning, Notation, and Example","Antiderivative: Meaning, Notation, and Example | Better Grades","Learn the definition, notation, interpretation, and use of antiderivative in calculus.",https://bettergrades.net/glossary/math/antiderivative/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=2,,glossary-term
/glossary/math/chain-rule/,concept.math.chain-rule,chain differentiation,reference-definition,chain rule,sitewide,/glossary/math/chain-rule/,true,glossary-term,,,"Chain Rule: Meaning, Notation, and Example | Better Grades","Chain Rule: Meaning, Notation, and Example","Chain Rule: Meaning, Notation, and Example","Chain Rule: Meaning, Notation, and Example | Better Grades","Learn the definition, notation, interpretation, and use of chain rule in calculus.",https://bettergrades.net/glossary/math/chain-rule/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=10,,glossary-term
/glossary/math/continuity/,concept.math.continuity,continuous function,reference-definition,continuity,sitewide,/glossary/math/continuity/,true,glossary-term,,,"Continuity: Meaning, Notation, and Example | Better Grades","Continuity: Meaning, Notation, and Example","Continuity: Meaning, Notation, and Example","Continuity: Meaning, Notation, and Example | Better Grades","Learn the definition, notation, interpretation, and use of continuity in calculus.",https://bettergrades.net/glossary/math/continuity/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=6,,glossary-term
/glossary/math/conventions/,concept.math.conventions,conventions,reference-definition,,sitewide,/glossary/math/conventions/,true,glossary-term,,,Mathematics variable and notation conventions | Better Grades,"Letters should carry meaning, not decorative noise.","Letters should carry meaning, not decorative noise.",Mathematics variable and notation conventions | Better Grades,"See the variable, naming, and notation rules used throughout Better Grades mathematics content.",https://bettergrades.net/glossary/math/conventions/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=974,,glossary-term
/glossary/math/critical-number/,concept.math.critical-number,critical point,reference-definition,critical number,sitewide,/glossary/math/critical-number/,true,glossary-term,,,"Critical Number: Meaning, Notation, and Example | Better Grades","Critical Number: Meaning, Notation, and Example","Critical Number: Meaning, Notation, and Example","Critical Number: Meaning, Notation, and Example | Better Grades","Learn the definition, notation, interpretation, and use of critical number in calculus.",https://bettergrades.net/glossary/math/critical-number/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=8,,glossary-term
/glossary/math/definite-integral/,concept.math.integral,bounded integral,reference-definition,definite integral,sitewide,/glossary/math/definite-integral/,true,glossary-term,,,"Definite Integral: Meaning, Notation, and Example | Better Grades","Definite Integral: Meaning, Notation, and Example","Definite Integral: Meaning, Notation, and Example","Definite Integral: Meaning, Notation, and Example | Better Grades","Learn the definition, notation, interpretation, and use of definite integral in calculus.",https://bettergrades.net/glossary/math/definite-integral/,SELF_CANONICAL,index,KEEP,,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,false,false,ADJUDICATED,Page-specific query family is sourced from the content registry; role is inferred from explicit route/title markers.,self-canonical=true; sitemap=true; inboundInternalLinks=3,,glossary-term
