resource_id,resource_type,course,unit,canonical_path,problem_count,status,student_pdf,answer_key_pdf,primary_visual
"calculus-resource-evaluating-limits","worksheet","Calculus I","Unit 1","/subjects/math/calculus/worksheets/evaluating-limits/","24","published","/downloads/calculus/evaluating-limits/evaluating-limits-student.pdf","/downloads/calculus/evaluating-limits/evaluating-limits-answer-key.pdf",""
"calculus-resource-derivative-rules","formula-sheet","Calculus I","Unit 2A","/subjects/math/calculus/formula-sheets/derivative-rules/","0","published","/downloads/calculus/derivative-rules/derivative-rules-student.pdf","","derivative-rules-map"
"calculus-resource-chain-rule","worksheet","Calculus I","Unit 2A","/subjects/math/calculus/worksheets/chain-rule/","24","published","/downloads/calculus/chain-rule/chain-rule-student.pdf","/downloads/calculus/chain-rule/chain-rule-answer-key.pdf",""
"calculus-resource-optimization","worksheet","Calculus I","Unit 2B","/subjects/math/calculus/worksheets/optimization/","16","published","/downloads/calculus/optimization/optimization-student.pdf","/downloads/calculus/optimization/optimization-answer-key.pdf","open-top-box-optimization"
"calculus-resource-calculus-1-final","practice-exam","Calculus I","Units 1–3A","/subjects/math/calculus/practice-exams/calculus-1-final/","25","published","/downloads/calculus/calculus-1-final/calculus-1-final-student.pdf","/downloads/calculus/calculus-1-final/calculus-1-final-answer-key.pdf",""
"calculus-resource-integration-by-parts","worksheet","Calculus II","Unit 3A","/subjects/math/calculus/worksheets/integration-by-parts/","20","published","/downloads/calculus/integration-by-parts/integration-by-parts-student.pdf","/downloads/calculus/integration-by-parts/integration-by-parts-answer-key.pdf","integration-by-parts-guide"
"calculus-resource-convergence-tests-flowchart","visual-guide","Calculus II","Unit 4A","/subjects/math/calculus/visuals/convergence-tests-flowchart/","0","published","/downloads/calculus/convergence-tests-flowchart/convergence-tests-flowchart-student.pdf","","convergence-tests-flowchart"
"calculus-resource-geometric-series","worksheet","Calculus II","Unit 4A","/subjects/math/calculus/worksheets/geometric-series/","20","published","/downloads/calculus/geometric-series/geometric-series-student.pdf","/downloads/calculus/geometric-series/geometric-series-answer-key.pdf","geometric-series-self-similarity"
"calculus-resource-taylor-series","worksheet","Calculus II","Unit 4B","/subjects/math/calculus/worksheets/taylor-series/","20","published","/downloads/calculus/taylor-series/taylor-series-student.pdf","/downloads/calculus/taylor-series/taylor-series-answer-key.pdf","taylor-approximation-sequence"
"calculus-resource-calculus-2-final","practice-exam","Calculus II","Units 3B–4B","/subjects/math/calculus/practice-exams/calculus-2-final/","25","published","/downloads/calculus/calculus-2-final/calculus-2-final-student.pdf","/downloads/calculus/calculus-2-final/calculus-2-final-answer-key.pdf",""
"calculus-resource-derivative-rules-map","visual-guide","Calculus I","Unit 2A","/subjects/math/calculus/visuals/derivative-rules-map/","0","published","/downloads/calculus/derivative-rules-map/derivative-rules-map-student.pdf","","derivative-rules-map"
"calculus-resource-riemann-sum-progression","visual-guide","Calculus I","Unit 3A","/subjects/math/calculus/visuals/riemann-sum-progression/","0","published","/downloads/calculus/riemann-sum-progression/riemann-sum-progression-student.pdf","","riemann-sum-progression"
"calculus-resource-taylor-approximation-visual","visual-guide","Calculus II","Unit 4B","/subjects/math/calculus/visuals/taylor-approximation-visual/","0","published","/downloads/calculus/taylor-approximation-visual/taylor-approximation-visual-student.pdf","","taylor-approximation-sequence"
